CODE,LINE_NAME,DATE,OUTPUT_KWH,LOSS_NOLOAD_KWH,LOSS_LOAD_KWH,LOSS_KWH,LOSS_PCT,MAX_LOAD_PCT,AVG_LOAD_PCT,N_INTERVALS,OUTPUT_SRC
YM.TITAN.NX5.400KVA,YM.TITAN.NX5.400KVA.JEN YAW,2026-01-06,292.8,9.864,0.20887,10.0729,3.32577,15.2505,3.1231,48,index
YM.TITAN.NX6.400kVA,YM.TITAN.NX6.400kVA.FUMAO,2026-01-06,190.4,9.72,0.0548145,9.77481,4.88314,5.15504,1.96451,48,index
YM.TITAN.NX7.630kVA,YM.TITAN.NX7.630kVA,2026-01-06,304,18.768,0.0622997,18.8303,5.83288,4.09173,2.04779,48,index
YM.TITAN.NX8.750kVA,YM.TITAN.NX8.750kVA Hồng Nguyên,2026-01-06,770,19.296,0.532671,19.8287,2.5105,11.4324,4.19544,48,index
YM.TITAN.NX9.750kVA,YM.TITAN.NX9.750kVA,2026-01-06,348,19.296,0.139097,19.4351,5.2894,8.31149,2.16625,48,index
YM.VINSON.T1.400kVA,YM.VINSON.T1.400kVA,2026-01-06,3720,10.68,17.6698,28.3498,0.756329,62.0918,41.1581,48,index
03.ECOLAND.T1.400KVA,03.ECOLAND.T1.400KVA,2026-01-07,185,6.768,0.0641809,6.83218,3.56154,4.57473,1.85655,48,index
03.ECOLAND.T2.250kVA,03.ECOLAND.T2.250kVA,2026-01-07,307.8,8.712,0.387852,9.09985,2.87152,15.2831,5.13997,48,index
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-01-07,174,29.016,0.0171648,29.0332,14.2997,1.272,0.805354,48,index
03.ECOLAND.T5.1500kVA,03.ECOLAND.T5.1500kVA,2026-01-07,105.6,29.616,0.00271255,29.6187,21.9043,0.533333,0.277952,48,index
03.GHN.T1.2000kVA,03.GHN.T1.2000kVA,2026-01-07,10140,44.4,18.816,63.216,0.61957,29.7644,21.2242,48,index
03.IP.T1.560kVA,03.IP.T1.560kVA,2026-01-07,641.6,12.9638,0.273045,13.2369,2.0214,7.82878,4.76424,48,index
03.JPVN.T1.800kVA,03.JPVN.T1.800kVA,2026-01-07,678,19.2797,0.449609,19.7294,2.82765,12.4041,3.77621,48,index
03.LOGOS.T1.1000kVA,03.LOGOS.T1.1000kVA,2026-01-07,57.6,21.2808,0.00119253,21.282,26.9795,0.232964,0.232964,48,index
03.LOGOS.T2.2500kVA,03.LOGOS.T2.2500kVA,2026-01-07,160,40.7112,0.00399813,40.7152,20.2851,0.367696,0.277634,48,index
03.SENDAI.T1.1000kVA,03.SENDAI.T1.1000kVA,2026-01-07,4814,22.1858,8.64927,30.8351,0.636453,24.7503,20.1564,48,index
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-01-07,91.2,22.2,0.00812541,22.2081,19.5825,1.68838,0.405545,48,index
03.TAMAGAWA.T1.750kVA,03.TAMAGAWA.T1.750kVA,2026-01-07,998.4,21.552,0.699822,22.2518,2.18016,12.6674,5.45893,48,index
TH.ACCELOTECH.T1.800kVA,TH.ACCELOTECH.T1.800kVA,2026-01-07,737.6,19.92,0.286904,20.2069,2.6665,9.46685,3.5399,48,index
TH.ASAHI.T1.2500kVA,TH.ASAHI.T1.2500kVA,2026-01-07,10050,45.5467,9.9789,55.5257,0.549458,23.1439,17.1726,48,index
TH.BEBRIGHT.T1.2500kVA,TH.BEBRIGHT.T1.2500kVA,2026-01-07,528,45.6417,0.0566899,45.6984,7.96558,2.52559,0.805963,48,index
TH.BQL.PCCC2.750kVA,TH.BQL.PCCC2.750kVA,2026-01-07,21,17.5802,0.000314545,17.5805,45.5684,0.324414,0.123651,48,index
TH.BQL.T1.180kVA,TH.BQL.T1.180kVA,2026-01-07,256.8,6.84,0.230414,7.07041,2.6795,12.3661,5.92835,48,index
TH.BQL.T2.160kVA,TH.BQL.T2.160kVA,2026-01-07,316.8,6.432,0.503058,6.93506,2.1422,26.4946,8.38318,51,index
TH.FANTASY.T1.3150kVA,TH.FANTASY.T1.3150kVA,2026-01-07,25011,91.8096,61.0242,152.834,0.607355,54.7864,33.8973,48,index
TH.HUM&C.T1.750kVA,TH.HUM&C.T1.750kVA,2026-01-07,3302.4,18.912,5.39815,24.3102,0.730757,23.818,18.3822,48,index
TH.SINHER.T1.1600kVA,TH.SINHER.T1.1600kVA,2026-01-07,396,27.696,0.0430699,27.7391,6.54626,2.579,1.02698,48,index
