CODE,LINE_NAME,DATE_TIME,DUR_H,N_METERS,P_KW,Q_KVAR,S_KVA,LOAD_PCT,DELTA_P_KW,OUTPUT_KWH,LOSS_NOLOAD_KWH,LOSS_LOAD_KWH,LOSS_KWH
TTI.JOHNSON 2.T1.3000kVA,TTI.JOHNSON 2.T1.3000kVA,2026-07-03 00:00:00,0.5,1,82.4,-4.8,82.5397,2.75132,3.97719,41.2,1.981,0.00759665,1.9886
TTI.JOHNSON.T1.3000kVA,TTI.JOHNSON.T1.3000kVA,2026-07-03 00:00:00,0.5,1,709.6,247.2,751.425,25.0475,5.24821,354.8,1.9945,0.629605,2.6241
TTI.JOHNSON.T2.2000kVA,TTI.JOHNSON.T2.2000kVA,2026-07-03 00:00:00,0.5,1,114.6,2.4,114.625,5.73126,3.09331,57.3,1.5235,0.0231541,1.54665
YM.DAECHANG.T1.560kVA,YM.DAECHANG.T1.560kVA,2026-07-03 00:00:00,0.5,1,2.7,0.7,2.78927,0.498083,0.322116,1.35,0.161,5.79034e-05,0.161058
YM.FOT.T1.2000kVA,YM.FOT.T1.2000kVA,2026-07-03 00:00:00,0.5,1,166,-38,170.294,8.51469,2.51958,83,1.1985,0.061289,1.25979
YM.JILI.T1.630kVA,YM.JILI.T1.630kVA,2026-07-03 00:00:00,0.5,1,22.72,2.08,22.815,3.62143,0.75432,11.36,0.37367,0.0034901,0.37716
YM.KIMTIN2.T1.1250kVA,YM.KIMTIN2.T1.1250kVA,2026-07-03 00:00:00,0.5,1,68.1,15,69.7324,5.57859,2.24694,34.05,1.085,0.0384677,1.12347
YM.LIHUA.T1.560kVA,YM.LIHUA.T1.560kVA,2026-07-03 00:00:00,0.5,1,163.36,84.64,183.985,32.8544,1.28693,81.68,0.34862,0.294847,0.643467
YM.LIHUA.T2.560kVA,YM.LIHUA.T2.560kVA,2026-07-03 00:00:00,0.5,1,159.68,94.4,185.497,33.1244,1.26502,79.84,0.3335,0.299011,0.632511
YM.MINHQUANG.T1.1500kVA,YM.MINHQUANG.T1.1500kVA,2026-07-03 00:00:00,0.5,1,205.6,52.4,212.172,14.1448,1.5787,102.8,0.6525,0.136852,0.789352
YM.PACIFIC.T1.1000kVA,YM.PACIFIC.T1.1000kVA,2026-07-03 00:00:00,0.5,1,475.44,129.36,492.724,49.2724,2.98962,237.72,0.4653,1.02951,1.49481
YM.SOL.T1.400kVA,YM.SOL.T1.400kVA,2026-07-03 00:00:00,0.75,1,42.32,5.44,42.6682,10.6671,0.465723,31.74,0.31746,0.0318325,0.349292
YM.SONMIENBAC.T1.1250kVA,YM.SONMIENBAC.T1.1250kVA,2026-07-03 00:00:00,0.5,1,3.9,0.3,3.91152,0.312922,1.0701,1.95,0.535,5.1598e-05,0.535052
YM.TITAN.NX1.400kVA,YM.TITAN.NX1.400kVA.SML,2026-07-03 00:00:00,0.5,1,14.72,-7.04,16.3169,4.07922,0.406255,7.36,0.2,0.00312749,0.203127
YM.TITAN.NX2.400kVA,YM.TITAN.NX2.400kVA.ESSENCE,2026-07-03 00:00:00,0.5,1,2.72,-0.32,2.73876,0.68469,0.401554,1.36,0.20069,8.6796e-05,0.200777
YM.TITAN.NX3.400kVA,YM.TITAN.NX3.400kVA.EVERJOY,2026-07-03 00:00:00,0.5,1,0.6,-0.24,0.64622,0.161555,0.40201,0.3,0.201,4.84808e-06,0.201005
YM.TITAN.NX4.400kVA,YM.TITAN.NX4.400kVA.JOINT,2026-07-03 00:00:00,0.5,1,0.48,-0.36,0.6,0.15,0.410158,0.24,0.205075,4.18736e-06,0.205079
YM.TITAN.NX5.400KVA,YM.TITAN.NX5.400KVA.JEN YAW,2026-07-03 00:00:00,0.5,1,2.24,0,2.24,0.56,0.411117,1.12,0.2055,5.87373e-05,0.205559
YM.TITAN.NX6.400kVA,YM.TITAN.NX6.400kVA.FUMAO,2026-07-03 00:00:00,0.5,1,8.32,-2.88,8.80436,2.20109,0.406815,4.16,0.2025,0.000907431,0.203407
YM.TITAN.NX7.630kVA,YM.TITAN.NX7.630kVA,2026-07-03 00:00:00,0.5,1,19.2,2.88,19.4148,3.08171,0.787313,9.6,0.391,0.0026563,0.393656
YM.TITAN.NX8.750kVA,YM.TITAN.NX8.750kVA Hồng Nguyên,2026-07-03 00:00:00,0.5,1,48.8,18.6,52.2245,6.96327,0.834848,24.4,0.402,0.0154238,0.417424
YM.TITAN.NX9.750kVA,YM.TITAN.NX9.750kVA,2026-07-03 00:00:00,0.516667,1,11.6,0.6,11.6155,1.54873,0.805526,5.99333,0.4154,0.000788421,0.416188
YM.VINSON.T1.400kVA,YM.VINSON.T1.400kVA,2026-07-03 00:00:00,0.5,1,106.16,36.88,112.384,28.0959,0.774803,53.08,0.2225,0.164901,0.387401
03.JPVN.T1.800kVA,03.JPVN.T1.800kVA,2026-07-03 00:01:00,0.733333,1,16.5,0,16.5,2.0625,0.80785,12.1,0.590333,0.00209009,0.592423
03.NHUABINHTHUAN.2000kVA,03.NHUABINHTHUAN.2000kVA,2026-07-03 00:01:00,0.483333,1,1.5,0,1.5,0.075,1.85001,0.725,0.894167,4.49872e-06,0.894171
03.TMD.3000kVA,03.TMD.3000kVA ( 0.2kV ),2026-07-03 00:01:00,0.483333,2,103.52,-355.64,370.4,12.3467,2.48253,50.0347,1.05367,0.146224,1.19989
TH.ASAHI.T1.2500kVA,TH.ASAHI.T1.2500kVA,2026-07-03 00:01:00,0.483333,1,625.8,142.8,641.886,25.6754,2.78985,302.47,0.917898,0.430529,1.34843
TH.BAIYANG.T1.2500kVA,TH.BAIYANG.T1.2500kVA,2026-07-03 00:01:00,0.483333,1,45.6,21.6,50.4571,2.01828,1.9046,22.04,0.917898,0.0026603,0.920559
TH.HONGXI.T1.800kVA,TH.HONGXI.T1.800kVA,2026-07-03 00:01:00,0.483333,1,5.44,-7.84,9.54249,1.19281,0.830967,2.62933,0.401167,0.000467146,0.401634
TTI.BQL.T2.630kVA CCNS,TTI.BQL.T2.630kVA CCNS,2026-07-03 00:01:00,0.483333,1,13.3,-2.8,13.5915,2.15739,0.782547,6.42833,0.377,0.00123088,0.378231
TTI.BQL.T4.250kVA,TTI.BQL.T4.250kVA,2026-07-03 00:01:00,0.483333,1,2.52,-2.16,3.31904,1.32761,0.3635,1.218,0.17545,0.00024143,0.175691
YM.FUMAO.800kVA,YM.FUMAO.800kVA,2026-07-03 00:01:00,0.483333,1,1.4,-0.6,1.52315,0.190394,0.798324,0.676667,0.385845,1.17216e-05,0.385857
YM.KIMTIN.3000KVA,YM.KIMTIN.3000KVA.ECHO,2026-07-03 00:01:00,0.483333,2,14.8,4.4,15.4402,0.514674,1.07028,7.15333,0.517167,0.000134928,0.517302
YM.NHUADUCANH.T1.2000kVA,YM.NHUADUCANH.T1.2000kVA,2026-07-03 00:01:00,0.483333,1,2.8,-1.2,3.04631,0.152315,2.39704,1.35333,1.15855,1.89587e-05,1.15857
YM.YUSEN.T1.800kVA,YM.YUSEN.T1.800kVA,2026-07-03 00:01:00,0.483333,1,30,-9.9,31.5913,3.94891,0.808732,14.5,0.385845,0.00504236,0.390887
03.AQ.T1.2500kVA,03.AQ.T1.2500kVA,2026-07-03 00:05:00,0.416667,1,1.8,-2.4,3,0.12,4.50002,0.75,1.875,9.9282e-06,1.87501
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-07-03 00:05:00,0.416667,1,3.84,-1.2,4.02313,0.402313,0.925136,1.6,0.385417,5.68e-05,0.385473
TH.BQL.T2.160kVA,TH.BQL.T2.160kVA,2026-07-03 00:05:00,0.416667,2,12.16,-1.96,12.3169,7.69809,0.27878,5.06667,0.111667,0.00449146,0.116158
YM.ECOPIONEER.1250 kVA,YM.ECOPIONEER.1250kVA,2026-07-03 00:05:00,0.416667,1,4.5,-0.3,4.50999,0.360799,1.18813,1.875,0.495,5.61384e-05,0.495056
YM.NCC.250kVA,YM.NCC.250kVA,2026-07-03 00:05:00,0.416667,1,9,0.06,9.0002,3.60008,0.313673,3.75,0.129167,0.00153043,0.130697
YM.OSAKA.160kVA,YM.OSAKA.160kVA,2026-07-03 00:05:00,0.416667,1,0,0,0,0,0.6205,0,0.258542,0,0.258542
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-07-03 00:06:00,0.4,1,7.2,-5.4,9,0.72,1.20955,2.88,0.4836,0.000221875,0.483822
03.AQ.T1.2500kVA,03.AQ.T1.2500kVA,2026-07-03 00:30:00,0.5,1,1.8,-2.4,3,0.12,4.50002,0.9,2.25,1.19138e-05,2.25001
03.ECOLAND.T1.400KVA,03.ECOLAND.T1.400KVA,2026-07-03 00:30:00,0.5,1,7.1,0,7.1,1.775,0.283717,3.55,0.141,0.000858593,0.141859
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-07-03 00:30:00,0.5,1,5.4,-5.4,7.63675,0.61094,1.2094,2.7,0.6045,0.000199688,0.6047
03.ECOLAND.T5.1500kVA,03.ECOLAND.T5.1500kVA,2026-07-03 00:30:00,0.5,1,5.12,-0.32,5.12999,0.341999,1.23415,2.56,0.617,7.70731e-05,0.617077
03.GHN.T1.2000kVA,03.GHN.T1.2000kVA,2026-07-03 00:30:00,0.5,1,694,57.5,696.378,34.8189,3.85608,347,0.925,1.00304,1.92804
03.IP.T1.560kVA,03.IP.T1.560kVA,2026-07-03 00:30:00,0.5,1,50.56,7.68,51.14,9.13214,0.579282,25.28,0.27008,0.0195609,0.289641
03.LOGOS.T1.1000kVA,03.LOGOS.T1.1000kVA,2026-07-03 00:30:00,0.5,1,2.24,-0.64,2.32964,0.232964,0.88675,1.12,0.44335,2.48444e-05,0.443375
03.LOGOS.T2.2500kVA,03.LOGOS.T2.2500kVA,2026-07-03 00:30:00,0.5,1,12,-6.5,13.6473,0.545894,1.69691,6,0.84815,0.000306568,0.848457
03.LOGOS.T3.1600kVA,03.LOGOS.T3.1600kVA,2026-07-03 00:30:00,0.5,1,8.64,-3.2,9.21356,0.575847,1.19548,4.32,0.5975,0.000240785,0.597741
03.NHUABINHTHUAN.2000kVA,03.NHUABINHTHUAN.2000kVA,2026-07-03 00:30:00,0.5,1,1.5,0,1.5,0.075,1.85001,0.75,0.925,4.65384e-06,0.925005
03.SENDAI.T1.1000kVA,03.SENDAI.T1.1000kVA,2026-07-03 00:30:00,0.5,1,179.2,36,182.78,18.278,1.21829,89.6,0.462205,0.14694,0.609145
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-07-03 00:30:00,0.5,1,3.84,-1.2,4.02313,0.402313,0.925136,1.92,0.4625,6.816e-05,0.462568
03.TAMAGAWA.T1.750kVA,03.TAMAGAWA.T1.750kVA,2026-07-03 00:30:00,0.5,1,40.32,16.48,43.5579,5.80772,0.922791,20.16,0.449,0.0123956,0.461396
03.TMD.3000kVA,03.TMD.3000kVA ( 0.2kV ),2026-07-03 00:30:00,0.5,2,95.26,-354.4,366.979,12.2326,2.47697,47.63,1.09,0.148485,1.23849
PĐ.AMP.T1.1000kVA,PĐ.AMP.T1.1000kVA,2026-07-03 00:30:00,0.5,1,11.04,6.72,12.9244,1.29244,0.896418,5.52,0.4475,0.000708918,0.448209
PĐ.BQL.T1.75kVA,PĐ.BQL.T1.75kVA,2026-07-03 00:30:00,0.516667,1,9.21,0.75,9.24049,12.3206,0.168239,4.7585,0.0795667,0.00735666,0.0869233
TH.ACCELOTECH.T1.800kVA,TH.ACCELOTECH.T1.800kVA,2026-07-03 00:30:00,0.5,1,110.56,4.32,110.644,13.8305,0.959939,55.28,0.415,0.0649696,0.47997
TH.ASAHI.T1.2500kVA,TH.ASAHI.T1.2500kVA,2026-07-03 00:30:00,0.5,1,666.6,142.2,681.598,27.2639,2.90348,333.3,0.94955,0.502189,1.45174
TH.BAIYANG.T1.2500kVA,TH.BAIYANG.T1.2500kVA,2026-07-03 00:30:00,0.5,1,23.4,1.8,23.4691,0.938765,1.90029,11.7,0.94955,0.000595393,0.950145
TH.BEBRIGHT.T1.2500kVA,TH.BEBRIGHT.T1.2500kVA,2026-07-03 00:30:00,0.5,1,14.4,-5.4,15.3792,0.615168,1.89988,7.2,0.94955,0.000387895,0.949938
TH.BQL.PCCC2.750kVA,TH.BQL.PCCC2.750kVA,2026-07-03 00:30:00,0.5,1,1,-0.4,1.07703,0.143604,0.732015,0.5,0.366,7.71787e-06,0.366008
TH.BQL.T1.180kVA,TH.BQL.T1.180kVA,2026-07-03 00:30:00,0.5,1,12.06,-1.86,12.2026,6.77922,0.294019,6.03,0.1425,0.00450961,0.14701
TH.BQL.T2.160kVA,TH.BQL.T2.160kVA,2026-07-03 00:30:00,0.5,2,14.72,-1.64,14.8111,9.25692,0.283587,7.36,0.134,0.00779356,0.141794
TH.FANTASY.T1.3150kVA,TH.FANTASY.T1.3150kVA,2026-07-03 00:30:00,0.5,1,982.8,126,990.844,31.4554,5.74867,491.4,1.9127,0.961637,2.87434
TH.FANTASY.T2.3150kVA,TH.FANTASY.T2.3150kVA,2026-07-03 00:30:00,0.5,1,68.6,6.3,68.8887,2.18694,3.8347,34.3,1.9127,0.00464832,1.91735
TH.HONGXI.T1.800kVA,TH.HONGXI.T1.800kVA,2026-07-03 00:30:00,0.5,1,5.44,-7.84,9.54249,1.19281,0.830967,2.72,0.415,0.000483254,0.415483
TH.HUM&C.T1.750kVA,TH.HUM&C.T1.750kVA,2026-07-03 00:30:00,0.5,1,155.36,17.92,156.39,20.852,1.07106,77.68,0.394,0.141529,0.535529
TH.SINHER.T1.1600kVA,TH.SINHER.T1.1600kVA,2026-07-03 00:30:00,0.5,1,11.6,-0.8,11.6276,0.726722,1.15469,5.8,0.577,0.000345816,0.577346
TH.XULI.T1.1000kVA,TH.XULI.T1.1000kVA,2026-07-03 00:30:00,0.5,1,25.92,2.16,26.0098,2.60098,0.966404,12.96,0.481,0.00220205,0.483202
TTI.BQL.T1.630kVA XLNT,TTI.BQL.T1.630kVA  XLNT,2026-07-03 00:30:00,0.5,1,1.1,0,1.1,0.174603,0.780017,0.55,0.39,8.34043e-06,0.390008
TTI.BQL.T2.630kVA CCNS,TTI.BQL.T2.630kVA CCNS,2026-07-03 00:30:00,0.5,1,11.3,-2.6,11.5953,1.84052,0.781854,5.65,0.39,0.000926753,0.390927
TTI.BQL.T3.400kVA,TTI.BQL.T3.400kVA  CS+BQL,2026-07-03 00:30:00,0.5,2,17.32,-2.92,17.5644,4.3911,0.422192,8.66,0.2075,0.00359606,0.211096
TTI.BQL.T4.250kVA,TTI.BQL.T4.250kVA,2026-07-03 00:30:00,0.5,1,2.46,-2.1,3.23444,1.29378,0.363474,1.23,0.1815,0.000237185,0.181737
TTI.JOHNSON 2.T1.3000kVA,TTI.JOHNSON 2.T1.3000kVA,2026-07-03 00:30:00,0.5,1,81.6,-5.6,81.7919,2.7264,3.97692,40.8,1.981,0.00745963,1.98846
TTI.JOHNSON.T1.3000kVA,TTI.JOHNSON.T1.3000kVA,2026-07-03 00:30:00,0.5,1,784,264.8,827.511,27.5837,5.51612,392,1.9945,0.763562,2.75806
TTI.JOHNSON.T2.2000kVA,TTI.JOHNSON.T2.2000kVA,2026-07-03 00:30:00,0.5,1,113.4,3,113.44,5.67198,3.09236,56.7,1.5235,0.0226776,1.54618
YM.DAECHANG.T1.560kVA,YM.DAECHANG.T1.560kVA,2026-07-03 00:30:00,0.5,1,0.9,0,0.9,0.160714,0.322012,0.45,0.161,6.02851e-06,0.161006
YM.ECOPIONEER.1250 kVA,YM.ECOPIONEER.1250kVA,2026-07-03 00:30:00,0.516667,1,4.8,-0.3,4.80937,0.384749,1.18815,2.48,0.6138,7.91601e-05,0.613879
YM.FOT.T1.2000kVA,YM.FOT.T1.2000kVA,2026-07-03 00:30:00,0.5,1,170.4,-38.8,174.762,8.73808,2.52609,85.2,1.1985,0.064547,1.26305
YM.FUMAO.800kVA,YM.FUMAO.800kVA,2026-07-03 00:30:00,0.5,1,1.4,-0.6,1.52315,0.190394,0.798324,0.7,0.39915,1.21258e-05,0.399162
YM.JILI.T1.630kVA,YM.JILI.T1.630kVA,2026-07-03 00:30:00,0.5,1,24.64,3.84,24.9374,3.95832,0.755679,12.32,0.37367,0.00416965,0.37784
YM.KIMTIN.3000KVA,YM.KIMTIN.3000KVA.ECHO,2026-07-03 00:30:00,0.5,2,18.4,4.4,18.9188,0.630626,1.07042,9.2,0.535,0.000209558,0.53521
YM.KIMTIN2.T1.1250kVA,YM.KIMTIN2.T1.1250kVA,2026-07-03 00:30:00,0.5,1,66.3,17.4,68.5452,5.48362,2.24434,33.15,1.085,0.037169,1.12217
YM.LIHUA.T1.560kVA,YM.LIHUA.T1.560kVA,2026-07-03 00:30:00,0.5,1,134.08,79.52,155.887,27.837,1.12058,67.04,0.34862,0.211668,0.560288
YM.LIHUA.T2.560kVA,YM.LIHUA.T2.560kVA,2026-07-03 00:30:00,0.516667,1,137.12,73.92,155.776,27.8171,1.08874,70.8453,0.344617,0.217898,0.562515
YM.MINHQUANG.T1.1500kVA,YM.MINHQUANG.T1.1500kVA,2026-07-03 00:30:00,0.5,1,210,17.2,210.703,14.0469,1.57493,105,0.6525,0.134963,0.787463
YM.NCC.250kVA,YM.NCC.250kVA,2026-07-03 00:30:00,0.5,1,9.06,-0.54,9.07608,3.63043,0.313735,4.53,0.155,0.00186761,0.156868
YM.NHUADUCANH.T1.2000kVA,YM.NHUADUCANH.T1.2000kVA,2026-07-03 00:30:00,0.5,1,2.4,-1.2,2.68328,0.134164,2.39703,1.2,1.1985,1.52166e-05,1.19852
YM.OSAKA.160kVA,YM.OSAKA.160kVA,2026-07-03 00:30:00,0.5,1,0,0,0,0,0.6205,0,0.31025,0,0.31025
YM.PACIFIC.T1.1000kVA,YM.PACIFIC.T1.1000kVA,2026-07-03 00:30:00,0.5,1,473.04,125.04,489.287,48.9287,2.96099,236.52,0.4653,1.0152,1.4805
YM.SONMIENBAC.T1.1250kVA,YM.SONMIENBAC.T1.1250kVA,2026-07-03 00:30:00,0.5,1,2.1,0,2.1,0.168,1.07003,1.05,0.535,1.48724e-05,0.535015
YM.TITAN.NX1.400kVA,YM.TITAN.NX1.400kVA.SML,2026-07-03 00:30:00,0.5,1,13.92,-6.88,15.5274,3.88186,0.405664,6.96,0.2,0.00283218,0.202832
YM.TITAN.NX2.400kVA,YM.TITAN.NX2.400kVA.ESSENCE,2026-07-03 00:30:00,0.5,1,2.88,-0.32,2.89772,0.724431,0.401574,1.44,0.20069,9.71641e-05,0.200787
YM.TITAN.NX3.400kVA,YM.TITAN.NX3.400kVA.EVERJOY,2026-07-03 00:30:00,0.5,1,0.6,-0.24,0.64622,0.161555,0.40201,0.3,0.201,4.84808e-06,0.201005
YM.TITAN.NX4.400kVA,YM.TITAN.NX4.400kVA.JOINT,2026-07-03 00:30:00,0.5,1,0.48,-0.36,0.6,0.15,0.410158,0.24,0.205075,4.18736e-06,0.205079
YM.TITAN.NX5.400KVA,YM.TITAN.NX5.400KVA.JEN YAW,2026-07-03 00:30:00,0.5,1,2.72,-0.16,2.7247,0.681175,0.411174,1.36,0.2055,8.69072e-05,0.205587
YM.TITAN.NX6.400kVA,YM.TITAN.NX6.400kVA.FUMAO,2026-07-03 00:30:00,0.5,1,8.8,-2.08,9.04248,2.26062,0.406914,4.4,0.2025,0.000957178,0.203457
YM.TITAN.NX7.630kVA,YM.TITAN.NX7.630kVA,2026-07-03 00:30:00,0.516667,1,18.88,2.88,19.0984,3.03149,0.787141,9.75467,0.404033,0.00265611,0.406689
YM.TITAN.NX8.750kVA,YM.TITAN.NX8.750kVA Hồng Nguyên,2026-07-03 00:30:00,0.5,1,44.8,9.6,45.817,6.10894,0.827742,22.4,0.402,0.0118712,0.413871
YM.VINSON.T1.400kVA,YM.VINSON.T1.400kVA,2026-07-03 00:30:00,0.5,1,152.24,38,156.911,39.2277,1.08792,76.12,0.2225,0.321458,0.543958
YM.YUSEN.T1.800kVA,YM.YUSEN.T1.800kVA,2026-07-03 00:30:00,0.5,1,28.5,-9.9,30.1705,3.77131,0.807815,14.25,0.39915,0.0047576,0.403908
YM.TITAN.NX9.750kVA,YM.TITAN.NX9.750kVA,2026-07-03 00:31:00,0.483333,1,11.2,0.8,11.2285,1.49714,0.805426,5.41333,0.3886,0.00068923,0.389289
03.ECOLAND.T2.250kVA,03.ECOLAND.T2.250kVA,2026-07-03 00:33:00,0.45,1,38.34,-5.64,38.7526,15.501,0.431096,17.253,0.16335,0.0306432,0.193993
03.JPVN.T1.800kVA,03.JPVN.T1.800kVA,2026-07-03 00:45:00,0.25,1,15.9,-0.3,15.9028,1.98785,0.807648,3.975,0.20125,0.000661887,0.201912
YM.SOL.T1.400kVA,YM.SOL.T1.400kVA,2026-07-03 00:45:00,0.25,1,41.28,4.72,41.549,10.3872,0.463526,10.32,0.10582,0.0100615,0.115881
03.AQ.T1.2500kVA,03.AQ.T1.2500kVA,2026-07-03 01:00:00,0.5,1,1.8,-2.4,3,0.12,4.50002,0.9,2.25,1.19138e-05,2.25001
03.ECOLAND.T1.400KVA,03.ECOLAND.T1.400KVA,2026-07-03 01:00:00,0.5,1,6.4,0.1,6.40078,1.6002,0.283396,3.2,0.141,0.000697809,0.141698
03.ECOLAND.T2.250kVA,03.ECOLAND.T2.250kVA,2026-07-03 01:00:00,0.5,1,35.1,-4.86,35.4349,14.1739,0.419935,17.55,0.1815,0.0284676,0.209968
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-07-03 01:00:00,0.5,1,5.4,-5.4,7.63675,0.61094,1.2094,2.7,0.6045,0.000199688,0.6047
03.ECOLAND.T5.1500kVA,03.ECOLAND.T5.1500kVA,2026-07-03 01:00:00,0.5,1,5.12,-0.32,5.12999,0.341999,1.23415,2.56,0.617,7.70731e-05,0.617077
03.GHN.T1.2000kVA,03.GHN.T1.2000kVA,2026-07-03 01:00:00,0.5,1,705,57.5,707.341,35.367,3.91975,352.5,0.925,1.03487,1.95987
03.IP.T1.560kVA,03.IP.T1.560kVA,2026-07-03 01:00:00,0.5,1,48.96,10.4,50.0524,8.93793,0.577636,24.48,0.27008,0.0187378,0.288818
03.JPVN.T1.800kVA,03.JPVN.T1.800kVA,2026-07-03 01:00:00,0.5,1,16.2,0,16.2,2.025,0.807747,8.1,0.4025,0.00137371,0.403874
03.LOGOS.T1.1000kVA,03.LOGOS.T1.1000kVA,2026-07-03 01:00:00,0.5,1,2.24,-0.64,2.32964,0.232964,0.88675,1.12,0.44335,2.48444e-05,0.443375
03.LOGOS.T2.2500kVA,03.LOGOS.T2.2500kVA,2026-07-03 01:00:00,0.5,1,11.5,-6.5,13.2098,0.528394,1.69687,5.75,0.84815,0.000287227,0.848437
03.LOGOS.T3.1600kVA,03.LOGOS.T3.1600kVA,2026-07-03 01:00:00,0.5,1,12.48,-1.6,12.5821,0.786384,1.1959,6.24,0.5975,0.000449039,0.597949
03.NHUABINHTHUAN.2000kVA,03.NHUABINHTHUAN.2000kVA,2026-07-03 01:00:00,0.5,1,1,0,1,0.05,1.85,0.5,0.925,2.06837e-06,0.925002
03.SENDAI.T1.1000kVA,03.SENDAI.T1.1000kVA,2026-07-03 01:00:00,0.5,1,206.2,40,210.044,21.0044,1.3125,103.1,0.462205,0.194044,0.656249
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-07-03 01:00:00,0.5,1,3.84,-1.2,4.02313,0.402313,0.925136,1.92,0.4625,6.816e-05,0.462568
03.TAMAGAWA.T1.750kVA,03.TAMAGAWA.T1.750kVA,2026-07-03 01:00:00,0.5,1,48,16.16,50.6473,6.75297,0.931518,24,0.449,0.016759,0.465759
03.TMD.3000kVA,03.TMD.3000kVA ( 0.2kV ),2026-07-03 01:00:00,0.5,2,102.74,-348.2,363.041,12.1014,2.47063,51.37,1.09,0.145315,1.23532
PĐ.AMP.T1.1000kVA,PĐ.AMP.T1.1000kVA,2026-07-03 01:00:00,0.5,1,11.28,7.2,13.382,1.3382,0.89652,5.64,0.4475,0.000760009,0.44826
TH.ACCELOTECH.T1.800kVA,TH.ACCELOTECH.T1.800kVA,2026-07-03 01:00:00,0.5,1,112.96,4,113.031,14.1288,0.965605,56.48,0.415,0.0678024,0.482802
TH.ASAHI.T1.2500kVA,TH.ASAHI.T1.2500kVA,2026-07-03 01:00:00,0.5,1,660,152.4,677.367,27.0947,2.89104,330,0.94955,0.495972,1.44552
TH.BAIYANG.T1.2500kVA,TH.BAIYANG.T1.2500kVA,2026-07-03 01:00:00,0.5,1,21,1.8,21.077,0.84308,1.90006,10.5,0.94955,0.000480206,0.95003
TH.BEBRIGHT.T1.2500kVA,TH.BEBRIGHT.T1.2500kVA,2026-07-03 01:00:00,0.5,1,31.8,-4.2,32.0762,1.28305,1.90247,15.9,0.94955,0.00168737,0.951237
TH.BQL.PCCC2.750kVA,TH.BQL.PCCC2.750kVA,2026-07-03 01:00:00,0.5,1,0.9,-0.4,0.984886,0.131318,0.732013,0.45,0.366,6.45373e-06,0.366006
TH.BQL.T1.180kVA,TH.BQL.T1.180kVA,2026-07-03 01:00:00,0.5,1,11.16,-1.8,11.3042,6.28013,0.29274,5.58,0.1425,0.00387005,0.14637
TH.BQL.T2.160kVA,TH.BQL.T2.160kVA,2026-07-03 01:00:00,0.5,2,11,-1.8,11.1463,6.96644,0.276828,5.5,0.134,0.00441392,0.138414
TH.FANTASY.T1.3150kVA,TH.FANTASY.T1.3150kVA,2026-07-03 01:00:00,0.5,1,922.6,129.5,931.644,29.576,5.52572,461.3,1.9127,0.85016,2.76286
TH.FANTASY.T2.3150kVA,TH.FANTASY.T2.3150kVA,2026-07-03 01:00:00,0.5,1,68.6,6.3,68.8887,2.18694,3.8347,34.3,1.9127,0.00464832,1.91735
TH.HONGXI.T1.800kVA,TH.HONGXI.T1.800kVA,2026-07-03 01:00:00,0.5,1,4.96,-7.84,9.27724,1.15966,0.830914,2.48,0.415,0.000456761,0.415457
TH.HUM&C.T1.750kVA,TH.HUM&C.T1.750kVA,2026-07-03 01:00:00,0.5,1,191.2,25.6,192.906,25.7208,1.21868,95.6,0.394,0.215338,0.609338
TH.SINHER.T1.1600kVA,TH.SINHER.T1.1600kVA,2026-07-03 01:00:00,0.5,1,12,-1.6,12.1062,0.756637,1.15475,6,0.577,0.000374873,0.577375
TH.XULI.T1.1000kVA,TH.XULI.T1.1000kVA,2026-07-03 01:00:00,0.5,1,23.04,1.68,23.1012,2.31012,0.965474,11.52,0.481,0.00173708,0.482737
TTI.BQL.T1.630kVA XLNT,TTI.BQL.T1.630kVA  XLNT,2026-07-03 01:00:00,0.5,1,1.1,0,1.1,0.174603,0.780017,0.55,0.39,8.34043e-06,0.390008
TTI.BQL.T2.630kVA CCNS,TTI.BQL.T2.630kVA CCNS,2026-07-03 01:00:00,0.5,1,11.6,-2.6,11.8878,1.88695,0.781948,5.8,0.39,0.000974107,0.390974
TTI.BQL.T3.400kVA,TTI.BQL.T3.400kVA  CS+BQL,2026-07-03 01:00:00,0.5,2,15.52,-3,15.8073,3.95182,0.420825,7.76,0.2075,0.00291255,0.210413
TTI.BQL.T4.250kVA,TTI.BQL.T4.250kVA,2026-07-03 01:00:00,0.5,1,2.46,-2.04,3.19581,1.27832,0.363463,1.23,0.1815,0.000231554,0.181732
TTI.JOHNSON 2.T1.3000kVA,TTI.JOHNSON 2.T1.3000kVA,2026-07-03 01:00:00,0.5,1,77.6,-4.8,77.7483,2.59161,3.97548,38.8,1.981,0.00674029,1.98774
TTI.JOHNSON.T1.3000kVA,TTI.JOHNSON.T1.3000kVA,2026-07-03 01:00:00,0.5,1,1020.8,373.6,1087.02,36.234,6.62412,510.4,1.9945,1.31756,3.31206
