CODE,LINE_NAME,DATE_TIME,DUR_H,N_METERS,P_KW,Q_KVAR,S_KVA,LOAD_PCT,DELTA_P_KW,OUTPUT_KWH,LOSS_NOLOAD_KWH,LOSS_LOAD_KWH,LOSS_KWH
YM.JILI.T1.630kVA,YM.JILI.T1.630kVA,2026-07-01 00:00:00,0.5,1,20.16,1.6,20.2234,3.21006,0.752824,10.08,0.37367,0.00274223,0.376412
YM.LIHUA.T1.560kVA,YM.LIHUA.T1.560kVA,2026-07-01 00:00:00,0.5,1,136.96,69.44,153.558,27.421,1.10802,68.48,0.34862,0.205388,0.554008
YM.LIHUA.T2.560kVA,YM.LIHUA.T2.560kVA,2026-07-01 00:00:00,0.5,1,143.2,80.48,164.266,29.3332,1.13596,71.6,0.3335,0.234482,0.567982
YM.NCC.250kVA,YM.NCC.250kVA,2026-07-01 00:00:00,0.5,1,8.64,-0.42,8.6502,3.46008,0.313393,4.32,0.155,0.00169646,0.156696
YM.OSAKA.160kVA,YM.OSAKA.160kVA,2026-07-01 00:00:00,0.5,1,0,0,0,0,0.6205,0,0.31025,0,0.31025
YM.SOL.T1.400kVA,YM.SOL.T1.400kVA,2026-07-01 00:00:00,0.5,1,36.08,-0.4,36.0822,9.02055,0.453632,18.04,0.21164,0.015176,0.226816
YM.TITAN.NX1.400kVA,YM.TITAN.NX1.400kVA.SML,2026-07-01 00:00:00,0.516667,1,13.28,-6.88,14.9564,3.73909,0.405255,6.86133,0.206667,0.00271528,0.209382
YM.TITAN.NX2.400kVA,YM.TITAN.NX2.400kVA.ESSENCE,2026-07-01 00:00:00,0.5,1,2.72,-0.48,2.76203,0.690507,0.401557,1.36,0.20069,8.82771e-05,0.200778
YM.TITAN.NX4.400kVA,YM.TITAN.NX4.400kVA.JOINT,2026-07-01 00:00:00,0.5,1,0.48,-0.36,0.6,0.15,0.410158,0.24,0.205075,4.18736e-06,0.205079
YM.TITAN.NX5.400KVA,YM.TITAN.NX5.400KVA.JEN YAW,2026-07-01 00:00:00,0.5,1,1.6,-0.32,1.63169,0.407922,0.411062,0.8,0.2055,3.11667e-05,0.205531
YM.TITAN.NX6.400kVA,YM.TITAN.NX6.400kVA.FUMAO,2026-07-01 00:00:00,0.5,1,8.8,-2.4,9.1214,2.28035,0.406948,4.4,0.2025,0.00097396,0.203474
YM.TITAN.NX7.630kVA,YM.TITAN.NX7.630kVA,2026-07-01 00:00:00,0.5,1,20.32,3.2,20.5704,3.26515,0.787964,10.16,0.391,0.00298193,0.393982
YM.TITAN.NX8.750kVA,YM.TITAN.NX8.750kVA Hồng Nguyên,2026-07-01 00:00:00,0.5,1,50.8,8.4,51.4898,6.86531,0.833986,25.4,0.402,0.0149928,0.416993
YM.TITAN.NX9.750kVA,YM.TITAN.NX9.750kVA,2026-07-01 00:00:00,0.5,1,11.6,1,11.643,1.5524,0.805533,5.8,0.402,0.000766607,0.402767
YM.VINSON.T1.400kVA,YM.VINSON.T1.400kVA,2026-07-01 00:00:00,0.5,1,116.32,34.88,121.437,30.3593,0.83008,58.16,0.2225,0.19254,0.41504
TH.ASAHI.T1.2500kVA,TH.ASAHI.T1.2500kVA,2026-07-01 00:01:00,0.483333,1,729.6,181.2,751.764,30.0706,3.12091,352.64,0.917898,0.590541,1.50844
TTI.JOHNSON 2.T1.3000kVA,TTI.JOHNSON 2.T1.3000kVA,2026-07-01 00:01:00,0.483333,1,76.8,-8,77.2155,2.57385,3.9753,37.12,1.91497,0.00642662,1.92139
YM.PACIFIC.T1.1000kVA,YM.PACIFIC.T1.1000kVA,2026-07-01 00:01:00,0.483333,1,204.72,85.68,221.926,22.1926,1.34831,98.948,0.44979,0.201891,0.651681
03.TMD.3000kVA,03.TMD.3000kVA ( 0.2kV ),2026-07-01 00:02:00,0.466667,2,111.34,-352.36,369.532,12.3177,2.48112,51.9587,1.01733,0.140521,1.15785
TTI.JOHNSON.T1.3000kVA,TTI.JOHNSON.T1.3000kVA,2026-07-01 00:02:00,0.466667,1,717.6,252.8,760.827,25.3609,5.27992,334.88,1.86153,0.602428,2.46396
YM.TITAN.NX3.400kVA,YM.TITAN.NX3.400kVA.EVERJOY,2026-07-01 00:02:00,0.466667,1,0.6,-0.24,0.64622,0.161555,0.40201,0.28,0.1876,4.52487e-06,0.187605
03.AQ.T1.2500kVA,03.AQ.T1.2500kVA,2026-07-01 00:03:00,0.45,1,1.8,-2.4,3,0.12,4.50002,0.81,2.025,1.07225e-05,2.02501
03.JPVN.T1.800kVA,03.JPVN.T1.800kVA,2026-07-01 00:03:00,0.45,1,15,0,15,1.875,0.807355,6.75,0.36225,0.00105996,0.36331
