CODE,LINE_NAME,MONTH,N_DAYS,OUTPUT_KWH,LOSS_NOLOAD_KWH,LOSS_LOAD_KWH,LOSS_TOTAL_KWH
YM.FUMAO.800kVA,YM.FUMAO.800kVA,2026-07,8,23250.4,133.995,137.704,271.698
YM.JILI.T1.630kVA,YM.JILI.T1.630kVA,2026-07,8,25109.4,125.541,125.315,250.856
YM.KIMTIN.3000KVA,YM.KIMTIN.3000KVA.ECHO,2026-07,8,42041.8,179.671,23.1311,202.802
YM.KIMTIN2.T1.1250kVA,YM.KIMTIN2.T1.1250kVA,2026-07,8,7205.93,364.415,7.45222,371.867
YM.LIHUA.T1.560kVA,YM.LIHUA.T1.560kVA,2026-07,8,38004.4,117.148,230.001,347.149
YM.LIHUA.T2.560kVA,YM.LIHUA.T2.560kVA,2026-07,8,32334.4,112.056,152.194,264.25
YM.MINHQUANG.T1.1500kVA,YM.MINHQUANG.T1.1500kVA,2026-07,8,31245.2,219.283,44.3694,263.653
YM.NCC.250kVA,YM.NCC.250kVA,2026-07,9,3777.85,51.5582,4.20879,55.767
YM.NHUADUCANH.T1.2000kVA,YM.NHUADUCANH.T1.2000kVA,2026-07,8,1497.2,402.217,0.0979335,402.315
YM.OSAKA.160kVA,YM.OSAKA.160kVA,2026-07,8,1194,104.089,2.96304,107.052
YM.PACIFIC.T1.1000kVA,YM.PACIFIC.T1.1000kVA,2026-07,8,84537.3,156.31,384.435,540.745
YM.PE_FOAMVH.T1.1000kVA,YM.PE_FOAMVH.T1.1000kVA,2026-07,4,31.684,36.2468,0.000382928,36.2472
YM.SOL.T1.400kVA,YM.SOL.T1.400kVA,2026-07,8,8218.84,71.0968,10.378,81.4748
YM.SONMIENBAC.T1.1250kVA,YM.SONMIENBAC.T1.1250kVA,2026-07,8,890.28,179.439,0.0438847,179.483
YM.TITAN.NX1.400kVA,YM.TITAN.NX1.400kVA.SML,2026-07,8,13875,67.1933,54.2028,121.396
YM.TITAN.NX2.400kVA,YM.TITAN.NX2.400kVA.ESSENCE,2026-07,8,1595.84,67.4452,0.983823,68.4291
YM.TITAN.NX3.400kVA,YM.TITAN.NX3.400kVA.EVERJOY,2026-07,8,99.36,67.536,0.00125582,67.5373
YM.TITAN.NX4.400kVA,YM.TITAN.NX4.400kVA.JOINT,2026-07,8,112.56,69.1103,0.00350829,69.1138
YM.TITAN.NX5.400KVA,YM.TITAN.NX5.400KVA.JEN YAW,2026-07,8,3704.56,69.048,5.59513,74.6433
YM.TITAN.NX6.400kVA,YM.TITAN.NX6.400kVA.FUMAO,2026-07,8,6805.68,68.2358,15.4639,83.6997
YM.TITAN.NX7.630kVA,YM.TITAN.NX7.630kVA,2026-07,8,7234.96,131.376,7.39335,138.769
YM.TITAN.NX8.750kVA,YM.TITAN.NX8.750kVA Hồng Nguyên,2026-07,8,12497.4,133.276,15.531,148.807
YM.TITAN.NX9.750kVA,YM.TITAN.NX9.750kVA,2026-07,8,7995,135.072,8.91066,143.983
YM.VINSON.T1.400kVA,YM.VINSON.T1.400kVA,2026-07,8,20011.8,74.7674,68.6553,143.423
YM.YUSEN.T1.800kVA,YM.YUSEN.T1.800kVA,2026-07,8,3449.82,134.075,1.43641,135.511
