METER_NO,METER_NAME,METER_MODEL_DESC,CUSTOMER_CODE,CUSTOMER_NAME,ADDRESS,LINE_NAME,STATUS
2510633391,100,ME-41,KCNYM-022,CÔNG TY TNHH OSAKA WRAP VIỆT NAM,KCN Yên Mỹ,YM.OSAKA.160kVA,Yes
2510633393,600,ME-41,KCNTH-002,CÔNG TY TNHH VẢI TÚI KHÍ ASAHI KASEI VIỆT NAM,KCN Tiền Hải,TH.ASAHI.T1.2500kVA,Yes
2510633395,40,ME-41,KCNYM-028,CÔNG TY CỔ PHẦN XÂY DỰNG VÀ SẢN XUẤT KANSAI VINA,KCN Yên Mỹ,YM.TITAN.NX7.630kVA. KANSAI VINA,Yes
2510633396,400,ME-41,KCNYM-027,CÔNG TY TNHH VÁN SÀN MỚI UNITED,KCN Yên Mỹ,YM.KIMTIN.3000KVA.UNITED,Yes
2510633397,240,ME-41,KCN03-014,CÔNG TY TNHH MÁY THIẾT BỊ ĐIỆN SHINERAY VIỆT NAM,KCN Số 3,03.SHINERAY.1000kVA,Yes
2510633399,600,ME-41,KCNTTI-004,CÔNG TY TNHH JOHNSON HEALTH TECH INDUSTRY (THUẬN THÀNH 1),KCN Thuận Thành I,TTI.JOHNSON.T2.2000kVA,Yes
2510633400,800,ME-41,KCNTTI-005,CÔNG TY TNHH JOHNSON HEALTH TECH INDUSTRY (THUẬN THÀNH 2),KCN Thuận Thành I,TTI.JOHNSON 2.T1.3000kVA,Yes
2510633402,300,ME-41,KCNYM-024,CÔNG TY CỔ PHẦN ECO PIONEER,KCN Yên Mỹ,YM.ECOPIONEER.1250kVA,Yes
2510633406,60,ME-41,KCNTTI-001,CÔNG TY ĐẦU TƯ PHÁT TRIỂN HẠ TẦNG VIGLACERA – CN TỔNG CÔNG TY VIGLACERA,KCN Thuận Thành I,TTI.BQL.T4.250kVA,Yes
2510633410,60,ME-41,KCNTTI-006,CÔNG TY CỔ PHẦN ENCO INDUSTRY,KCN Thuận Thành I,TTI.BQL.T2.630kVA ENCO,Yes
2510633411,800,DTS27,KCNTTI-004,CÔNG TY TNHH JOHNSON HEALTH TECH INDUSTRY (THUẬN THÀNH 1),KCN Thuận Thành I,TTI.JOHNSON.T1.3000kVA,Yes
2510633412,300,ME-41,KCN03-015,CÔNG TY TNHH TECHSCOPE HƯNG YÊN,KCN Số 3,03.TECHSCOPE.1500kVA,No
