METER_NO,DATE,HSN,START_TIME,END_TIME,PG_START,BT_START,CD_START,TD_START,VC_START,PG_END,BT_END,CD_END,TD_END,VC_END
2510203104,2026-06-29,160,2026-06-29 00:00:00,2026-06-30 00:00:00,2120.440,1260.760,499.610,360.070,252.890,2132.060,1268.140,502.710,361.200,255.630
2510203105,2026-06-29,100,2026-06-29 00:00:00,2026-06-30 00:00:00,1890.200,1317.410,532.120,40.660,441.810,1897.660,1322.240,534.490,40.910,443.640
2510203106,2026-06-29,100,2026-06-29 00:00:00,2026-06-30 00:00:00,76.500,35.860,13.120,27.500,0.360,76.830,36.000,13.170,27.650,0.360
2510203107,2026-06-29,600,2026-06-29 00:00:00,2026-06-30 00:00:00,27.580,17.740,5.350,4.490,3.810,32.260,20.230,6.530,5.500,5.760
2510203108,2026-06-29,80,2026-06-29 00:00:00,2026-06-30 00:00:00,2660.450,1485.540,582.180,592.720,453.170,2673.910,1492.770,585.540,595.590,455.390
2510203109,2026-06-29,300,2026-06-29 00:00:00,2026-06-30 00:00:00,1009.480,632.550,302.970,73.950,356.110,1014.990,635.840,304.880,74.260,357.250
2510203111,2026-06-29,40,2026-06-29 00:00:00,2026-06-30 00:00:00,2497.990,1600.030,643.450,254.510,699.810,2518.070,1611.170,648.040,258.850,705.670
2510203113,2026-06-29,160,2026-06-29 00:00:00,2026-06-30 00:00:00,2683.080,1714.280,643.000,325.790,126.370,2688.870,1717.330,644.610,326.920,126.380
2510203114,2026-06-29,120,2026-06-29 00:10:00,2026-06-30 00:00:00,1214.900,761.560,302.370,150.960,226.990,1224.560,767.880,305.100,151.570,229.480
2510203115,2026-06-29,40,2026-06-29 00:07:00,2026-06-30 00:00:00,1820.400,1170.430,431.740,218.210,362.770,1829.120,1176.090,433.940,219.080,363.590
2510203117,2026-06-29,80,2026-06-29 00:02:00,2026-06-30 00:00:00,1337.670,709.300,300.950,327.410,212.070,1342.930,711.940,302.390,328.600,213.060
2510203118,2026-06-29,640,2026-06-29 00:00:00,2026-06-30 00:00:00,96.850,56.760,22.790,17.290,26.310,98.110,57.510,23.140,17.450,26.320
2510203119,2026-06-29,40,2026-06-29 00:00:00,2026-06-30 00:00:00,452.520,305.250,117.920,29.330,178.690,455.180,306.910,118.490,29.770,178.930
2510203120,2026-06-29,160,2026-06-29 00:00:00,2026-06-30 00:00:00,3023.320,1854.150,676.630,492.530,649.570,3039.840,1864.280,680.300,495.250,653.680
2510203121,2026-06-29,100,2026-06-29 00:00:00,2026-06-30 00:00:00,945.730,545.110,214.900,185.710,56.510,950.470,547.940,215.940,186.580,56.620
2510203122,2026-06-29,40,2026-06-29 00:00:00,2026-06-30 00:00:00,690.910,439.680,212.410,38.820,504.580,694.190,441.740,213.510,38.930,507.080
2510203123,2026-06-29,40,2026-06-29 00:00:00,2026-06-30 00:00:00,1863.920,1233.000,510.830,120.080,597.890,1879.240,1242.260,515.350,121.610,602.400
2510203124,2026-06-29,800,2026-06-29 00:06:00,2026-06-30 00:00:00,688.020,486.490,167.510,34.010,193.390,693.080,490.200,168.810,34.070,194.550
2510203125,2026-06-29,160,2026-06-29 00:00:00,2026-06-30 00:02:00,120.960,73.230,23.450,24.270,5.360,121.610,73.540,23.570,24.490,5.360
2510203126,2026-06-29,2.5102e+09,2026-06-29 00:06:00,2026-06-30 00:00:00,0.330,0.140,0.030,0.150,0.010,0.460,0.190,0.050,0.220,0.020
2510203127,2026-06-29,40,2026-06-29 00:08:00,2026-06-30 00:00:00,493.960,330.530,143.530,19.890,77.460,501.940,335.820,146.130,19.980,79.520
2510203128,2026-06-29,500,2026-06-29 00:00:00,2026-06-30 00:00:00,5582.560,2921.030,979.830,1681.690,212.040,5609.600,2934.710,985.310,1689.570,213.490
2510203133,2026-06-29,40,2026-06-29 00:00:00,2026-06-30 00:00:00,497.360,342.580,118.020,36.750,82.600,499.690,344.030,118.720,36.930,82.920
2510203134,2026-06-29,320,2026-06-29 00:00:00,2026-06-30 00:00:00,125.430,73.640,29.780,22.000,6.060,125.620,73.750,29.820,22.050,6.060
2510224049,2026-06-29,1,2026-06-29 00:00:00,2026-06-30 00:02:00,45336.180,17578.570,9698.530,18059.061,111.550,45433.422,17612.660,9715.450,18105.301,111.550
2510224167,2026-06-29,1,2026-06-29 00:00:00,2026-06-30 00:00:00,15393.490,6307.190,2891.470,6194.810,253.180,15463.890,6334.360,2905.770,6223.750,253.240
2510317505,2026-06-29,1,2026-06-29 00:00:00,2026-06-30 00:01:00,9422.000,4015.960,2094.050,3311.980,0.220,9495.960,4043.400,2108.830,3343.720,0.220
2510317537,2026-06-29,1,2026-06-29 00:00:00,2026-06-30 00:00:00,9470.770,5446.260,1793.360,2231.140,0.000,9487.760,5455.470,1794.460,2237.820,3.770
2510389559,2026-06-29,1,2026-06-29 00:00:00,2026-06-30 00:00:00,34.810,18.580,14.320,1.910,29.580,35.270,19.030,14.320,1.910,29.830
2510389643,2026-06-29,1,2026-06-29 00:04:00,2026-06-30 00:00:00,33963.711,11953.260,6028.160,15982.290,21.660,34103.410,11997.180,6051.060,16055.160,21.760
2510389931,2026-06-29,1,2026-06-29 00:09:00,2026-06-30 00:00:00,23390.250,8926.620,5103.770,9359.850,0.010,23477.689,8957.730,5121.710,9398.250,0.010
2510633381,2026-06-29,320,2026-06-29 00:00:00,2026-06-30 00:00:00,124.590,78.390,27.590,18.600,5.660,125.950,79.220,27.930,18.780,5.660
2510633383,2026-06-29,40,2026-06-29 00:07:00,2026-06-30 00:00:00,917.030,685.120,213.940,17.960,23.160,930.280,695.490,216.710,18.070,23.670
2510633385,2026-06-29,60,2026-06-29 00:02:00,2026-06-30 00:00:00,828.810,373.220,162.640,292.950,27.030,833.970,375.540,163.570,294.840,27.300
2510633386,2026-06-29,500,2026-06-29 00:00:00,2026-06-30 00:00:00,234.790,134.220,52.680,47.870,30.890,237.150,135.630,53.330,48.180,30.890
2510633390,2026-06-29,80,2026-06-29 00:00:00,2026-06-30 00:00:00,854.940,518.020,200.360,136.550,214.810,857.600,519.710,201.220,136.650,215.120
2510633391,2026-06-29,100,2026-06-29 00:07:00,2026-06-30 00:00:00,117.600,90.470,27.060,0.070,2.150,119.540,92.000,27.460,0.070,2.170
2510633393,2026-06-29,600,2026-06-29 00:00:00,2026-06-30 00:01:00,3889.100,2270.130,780.000,838.970,796.630,3912.590,2283.380,785.410,843.800,802.470
2510633395,2026-06-29,40,2026-06-29 00:02:00,2026-06-30 00:00:00,1081.630,606.560,236.790,238.260,58.800,1088.160,610.120,238.350,239.670,58.950
2510633396,2026-06-29,400,2026-06-29 00:00:00,2026-06-30 00:00:00,466.620,315.420,112.190,39.010,91.840,469.680,317.500,113.050,39.120,92.290
2510633397,2026-06-29,240,2026-06-29 00:00:00,2026-06-30 00:00:00,281.550,183.760,77.170,20.620,88.390,286.380,186.430,79.070,20.870,89.850
2510633399,2026-06-29,600,2026-06-29 00:08:00,2026-06-30 00:00:00,570.280,327.930,122.750,119.590,33.070,576.470,331.280,124.290,120.900,33.690
2510633400,2026-06-29,800,2026-06-29 00:08:00,2026-06-30 00:00:00,240.380,146.800,49.770,43.790,3.950,242.980,148.310,50.450,44.210,3.950
2510633402,2026-06-29,300,2026-06-29 00:07:00,2026-06-30 00:00:00,78.280,46.070,17.940,14.260,3.930,78.950,46.420,18.170,14.350,3.940
2510633406,2026-06-29,60,2026-06-29 00:00:00,2026-06-30 00:04:00,261.300,108.150,49.180,103.970,5.170,262.510,108.610,49.420,104.470,5.170
2510633410,2026-06-29,60,2026-06-29 00:06:00,2026-06-30 00:00:00,779.190,509.080,175.750,94.350,108.740,784.120,512.300,176.900,94.910,108.960
2510633411,2026-06-29,800,2026-06-29 00:00:00,2026-06-30 00:03:00,2301.530,1319.610,503.330,478.590,802.110,2329.280,1334.510,509.430,485.330,811.730
2510814977,2026-06-29,400,2026-06-29 00:00:00,2026-06-30 00:00:00,23.530,14.430,5.180,3.910,1.220,23.870,14.630,5.270,3.960,1.220
2610026952,2026-06-29,200,2026-06-29 00:11:00,2026-06-30 00:00:00,2095.260,1367.110,586.530,141.610,1005.010,2129.560,1388.230,599.630,141.690,1022.850
2610026953,2026-06-29,700,2026-06-29 00:00:00,2026-06-30 00:00:00,89.860,55.660,20.120,14.070,12.540,93.630,58.040,21.270,14.310,13.120
2610026963,2026-06-29,300,2026-06-29 00:00:00,2026-06-30 00:00:00,206.250,114.780,47.670,43.790,21.800,207.510,115.340,47.860,44.300,21.900
2610026966,2026-06-29,240,2026-06-29 00:00:00,2026-06-30 00:00:00,417.760,299.650,102.670,15.430,95.120,424.650,304.110,104.870,15.660,96.590
2610026976,2026-06-29,60,2026-06-29 00:00:00,2026-06-30 00:00:00,730.440,470.550,160.720,99.160,88.900,737.930,475.480,162.380,100.070,89.210
2610026977,2026-06-29,30,2026-06-29 00:00:00,2026-06-30 00:00:00,291.360,119.990,47.920,123.440,49.390,295.120,121.340,48.650,125.120,49.980
2610126451,2026-06-29,300,2026-06-29 00:00:00,2026-06-30 00:00:00,71.020,48.400,17.800,4.820,50.040,71.460,48.650,17.910,4.890,50.110
2610159557,2026-06-29,600,2026-06-29 00:08:00,2026-06-30 00:00:00,1.470,0.610,0.290,0.560,0.040,1.540,0.640,0.300,0.580,0.040
2610170786,2026-06-29,500,2026-06-29 00:00:00,2026-06-30 00:00:00,11.710,7.520,2.860,1.320,0.930,12.020,7.700,2.950,1.350,0.960
