LINE_ID,LINE_NAME,ADDRESS,CODE
885,TTI.BQL.T1.630kVA  CSCC,,
889,03.LOGOS.T2.2500kVA FONG HO,,
892,TH.HONGXI.T1.800kVA,,TH.HONGXI.T1.800kVA
898,03.TECHSCOPE.1500kVA,,03.TECHSCOPE.1500kVA
906,YM.YUSEN.T1.800kVA,,YM.YUSEN.T1.800kVA
907,YM.SONMIENBAC.T1.1250kVA,,YM.SONMIENBAC.T1.1250kVA
909,YM.NHUADUCANH.T1.2000kVA,,YM.NHUADUCANH.T1.2000kVA
949,03.FI VINA.1500kVA,,03.FI VINA.1500kVA
950,TTI.TITAN.MVSG.1250kVA,,TTI.TITAN.MVSG.1250kVA
951,TTI.TITAN.NX5.1000kVA,,TTI.TITAN.NX5.1000kVA
952,TTI.TITAN.NX6.2000kVA,,TTI.TITAN.NX6.2000kVA
971,03.NHUABINHTHUAN.2000kVA,,03.NHUABINHTHUAN.2000kVA
974,TH.BAIYANG.T1.2500kVA,,TH.BAIYANG.T1.2500kVA
975,TH.BAIYANG.T2.2500kVA,,TH.BAIYANG.T2.2500kVA
982,TTI.BQL.T2.630kVA SOTEK,,
985,03.AQ.T1.2500kVA,,03.AQ.T1.2500kVA
