METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC
2410121326,2026-09-17 00:00:00,200,1552.520,1001.920,435.570,115.010,365.210
2410121353,2026-09-17 00:00:00,120,697.870,483.890,190.300,23.670,153.100
2410121371,2026-09-17 00:00:00,120,591.480,367.260,130.650,93.550,71.130
2410121424,2026-09-17 00:00:00,120,47.530,29.240,11.090,7.180,1.600
2410121440,2026-09-17 00:00:00,120,19.970,13.040,4.060,2.860,2.350
2410121454,2026-09-17 00:00:00,160,2029.240,1279.820,438.100,311.310,329.320
2410121457,2026-09-17 00:00:00,120,1668.480,1076.770,478.280,113.430,304.090
2410121574,2026-09-17 00:00:00,120,4839.520,3492.560,1125.490,221.460,417.830
2410131378,2026-09-17 00:00:00,200,1824.890,1173.870,506.010,145.000,401.150
2410131383,2026-09-17 00:00:00,400,1053.390,697.670,224.980,130.720,47.470
2410131387,2026-09-17 00:00:00,600,539.380,337.630,128.380,73.360,55.900
2410320615,2026-09-17 00:00:00,700,15325.280,9392.770,3740.330,2192.160,3787.100
2410883988,2026-09-17 00:00:00,100,34.830,17.650,5.220,11.950,3.360
2410883990,2026-09-17 00:00:00,60,2993.010,1716.490,638.790,637.730,888.380
2410883991,2026-09-17 00:00:00,100,2717.440,1635.660,610.960,470.810,255.340
2410883993,2026-09-17 00:00:00,60,3067.630,1477.610,582.110,1007.890,115.880
2410883994,2026-09-17 00:00:00,320,105.340,47.040,20.960,37.330,3.450
2410932742,2026-09-17 00:00:00,240,19732.760,11484.660,3665.260,4582.830,4997.770
2411087432,2026-09-17 00:00:00,40,3621.420,2249.940,1037.210,334.260,731.020
2411087433,2026-09-17 00:00:00,500,798.400,472.420,174.430,151.540,20.730
2411290205,2026-09-17 00:00:00,240,9545.120,6417.100,2798.720,329.280,3383.160
2510014481,2026-09-17 00:00:00,80,15245.410,8888.320,2937.000,3420.090,5729.400
2510014482,2026-09-17 00:00:00,40,1280.090,891.490,352.250,36.340,84.420
2510014483,2026-09-17 00:00:00,300,226.000,130.140,50.360,45.490,0.000
2510014484,2026-09-17 00:00:00,160,9335.280,5292.860,2066.710,1975.700,1492.880
2510178139,2026-09-17 00:00:00,300,797.500,464.310,170.280,162.900,169.870
2510178141,2026-09-17 00:00:00,40,647.640,484.820,151.910,10.890,179.550
2510203104,2026-09-17 00:00:00,120,2988.440,1795.290,700.470,492.660,445.910
2510203105,2026-09-17 00:00:00,100,2393.200,1664.440,675.860,52.890,563.650
2510203106,2026-09-17 00:00:00,100,98.050,45.370,16.520,36.150,0.410
2510203108,2026-09-17 00:00:00,80,3906.980,2198.760,867.100,841.110,616.330
2510203109,2026-09-17 00:00:00,160,1497.620,940.350,459.150,98.110,453.870
2510203111,2026-09-17 00:00:00,40,3891.800,2454.380,956.220,481.200,1063.350
2510203112,2026-09-17 00:00:00,600,48.410,33.490,11.340,3.570,18.380
2510203113,2026-09-17 00:00:00,160,4338.490,2761.320,1048.230,528.940,254.110
2510203114,2026-09-17 00:00:00,120,1873.390,1177.020,462.550,233.810,375.120
2510203117,2026-09-17 00:00:00,80,1643.280,875.680,356.960,410.640,279.220
2510203118,2026-09-17 00:00:00,640,189.960,109.940,42.840,37.180,26.990
2510203119,2026-09-17 00:00:00,40,480.820,323.290,123.490,34.020,180.180
2510203121,2026-09-17 00:00:00,100,1283.410,752.870,301.020,229.520,71.030
2510203122,2026-09-17 00:00:00,40,925.770,586.840,290.540,48.380,677.970
2510203123,2026-09-17 00:00:00,40,2625.020,1729.720,714.010,181.280,833.360
2510203126,2026-09-17 00:00:00,100,14.800,6.500,2.130,6.160,0.290
2510203127,2026-09-17 00:00:00,40,1219.510,796.650,326.680,96.170,346.640
2510203128,2026-09-17 00:00:00,500,7838.160,4114.230,1381.570,2342.360,359.570
2510203129,2026-09-17 00:00:00,80,5.770,3.030,1.100,1.630,0.000
2510203130,2026-09-17 00:00:00,120,28.580,20.030,6.240,2.290,8.680
2510203133,2026-09-17 00:00:00,40,660.730,450.230,166.210,44.270,112.560
2510224049,2026-09-17 00:00:00,1,53001.980,20654.039,10847.920,21500.000,118.580
2510224167,2026-09-17 00:00:00,1,20372.990,8920.930,3980.810,7471.240,772.580
2510317505,2026-09-17 00:00:00,1,14856.860,6515.370,3140.950,5200.540,0.740
2510317537,2026-09-17 00:00:00,1,11569.670,6645.770,2186.150,2737.740,218.560
2510389559,2026-09-17 00:00:00,1,36.870,20.630,14.320,1.910,30.680
2510389931,2026-09-17 00:00:00,1,30770.990,11765.890,6498.590,12506.510,0.150
2510633381,2026-09-17 00:00:00,320,217.230,135.250,48.840,33.130,6.260
2510633383,2026-09-17 00:00:00,40,1683.460,1262.030,388.560,32.860,51.780
2510633385,2026-09-17 00:00:00,60,1196.960,562.990,238.470,395.500,47.040
2510633386,2026-09-17 00:00:00,500,471.770,268.930,101.850,100.980,30.900
2510633387,2026-09-17 00:00:00,40,23.470,15.750,5.650,2.050,0.750
2510633389,2026-09-17 00:00:00,500,433.160,294.230,103.270,35.650,75.620
2510633390,2026-09-17 00:00:00,80,2019.720,1213.600,451.590,354.520,522.920
2510633391,2026-09-17 00:00:00,100,242.250,187.020,55.120,0.100,3.300
2510633395,2026-09-17 00:00:00,40,1300.980,732.580,283.550,284.840,61.340
2510633396,2026-09-17 00:00:00,400,874.240,594.740,206.500,72.990,192.950
2510633399,2026-09-17 00:00:00,600,1122.260,644.930,241.130,236.190,57.410
2510633400,2026-09-17 00:00:00,800,710.840,434.270,163.280,113.280,144.230
2510633402,2026-09-17 00:00:00,300,517.640,313.160,109.710,94.760,126.410
2510633406,2026-09-17 00:00:00,60,352.230,158.210,68.350,125.660,16.970
2510633411,2026-09-17 00:00:00,800,4598.050,2624.030,962.130,1011.880,1629.480
2510814977,2026-09-17 00:00:00,400,51.310,31.680,12.150,7.460,1.840
2610026950,2026-09-17 00:00:00,600,13.320,8.490,3.080,1.750,1.190
2610026952,2026-09-17 00:00:00,200,3450.350,2251.400,1007.210,191.730,1730.520
2610026953,2026-09-17 00:00:00,700,624.120,369.060,141.670,113.380,176.440
