METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC
2410121326,2026-09-10 00:00:00,200,1515.250,978.450,424.910,111.880,355.500
2410121353,2026-09-10 00:00:00,120,668.170,465.750,180.620,21.790,144.270
2410121424,2026-09-10 00:00:00,120,46.890,28.900,10.970,7.010,1.600
2410121440,2026-09-10 00:00:00,120,17.720,11.600,3.460,2.650,2.170
2410121454,2026-09-10 00:00:00,160,1995.770,1257.830,430.740,307.190,322.850
2410121457,2026-09-10 00:00:00,120,1513.220,986.180,433.570,93.460,269.230
2410121574,2026-09-10 00:00:00,120,4766.220,3439.690,1107.980,218.540,410.790
2410131383,2026-09-10 00:00:00,400,1038.190,687.580,221.850,128.750,46.480
2410131384,2026-09-10 00:00:00,200,9668.610,5487.060,1944.230,2237.310,2018.600
2410131387,2026-09-10 00:00:00,600,525.070,328.360,124.900,71.800,53.410
2410320615,2026-09-10 00:00:00,700,15063.890,9229.660,3677.820,2156.400,3722.460
2410883988,2026-09-10 00:00:00,100,33.260,16.900,4.950,11.400,3.330
2410883990,2026-09-10 00:00:00,60,2989.430,1714.410,638.040,636.970,887.750
2410883991,2026-09-10 00:00:00,100,2701.560,1626.220,607.000,468.340,253.720
2410883993,2026-09-10 00:00:00,60,2972.910,1428.680,564.030,980.190,101.770
2410883994,2026-09-10 00:00:00,320,102.870,45.790,20.490,36.590,3.450
2410932742,2026-09-10 00:00:00,240,19416.670,11302.720,3607.330,4506.610,4911.090
2411087432,2026-09-10 00:00:00,40,3553.690,2211.010,1015.700,326.960,720.040
2411087433,2026-09-10 00:00:00,500,741.000,439.850,162.270,138.880,19.500
2411290205,2026-09-10 00:00:00,240,9347.670,6292.940,2729.380,325.330,3309.940
2510014481,2026-09-10 00:00:00,80,15038.010,8767.600,2898.210,3372.190,5645.360
2510014483,2026-09-10 00:00:00,300,220.600,126.970,49.230,44.400,0.000
2510014484,2026-09-10 00:00:00,160,9187.730,5210.950,2034.650,1942.120,1438.260
2510178139,2026-09-10 00:00:00,300,764.810,446.040,163.870,154.890,158.850
2510178141,2026-09-10 00:00:00,40,623.670,466.650,146.450,10.570,172.380
