METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC
2610026953,2026-08-28 00:00:00,700,462.640,275.710,106.480,80.440,115.190
2610026963,2026-08-28 00:00:00,200,322.750,167.810,78.440,76.490,23.310
2610026966,2026-08-28 00:00:00,240,829.930,594.900,206.680,28.340,176.230
2610026976,2026-08-28 00:00:00,60,1241.090,808.850,275.960,156.270,129.310
2610026977,2026-08-28 00:00:00,30,533.560,223.360,82.660,227.530,91.780
2610126270,2026-08-28 00:00:00,400,16.400,10.560,4.080,1.760,0.750
2610126451,2026-08-28 00:00:00,300,99.500,65.320,24.360,9.810,54.160
2610159557,2026-08-28 00:00:00,600,10.610,5.760,2.350,2.490,0.220
2610170786,2026-08-28 00:00:00,500,357.950,202.870,73.830,81.250,64.980
2610170836,2026-08-28 00:00:00,100,119.690,74.590,26.750,18.340,68.480
2610170837,2026-08-28 00:00:00,240,8.030,5.220,1.760,1.040,0.850
2610170838,2026-08-28 00:00:00,240,22.680,14.520,5.010,3.150,2.430
2610170840,2026-08-28 00:00:00,40,191.560,106.980,38.580,46.000,39.750
2610322967,2026-08-28 00:00:00,500,1.960,1.180,0.480,0.290,0.280
2610322969,2026-08-28 00:00:00,100,47.370,32.290,12.460,2.610,2.760
2610322997,2026-08-28 00:00:00,400,307.120,179.190,71.910,56.010,113.320
2610323001,2026-08-28 00:00:00,160,1014.030,593.230,289.380,131.420,454.540
2610323004,2026-08-28 00:00:00,3000,54.820,42.700,7.080,5.030,12.420
2610323005,2026-08-28 00:00:00,120,5.910,3.970,1.560,0.370,1.230
2610323016,2026-08-28 00:00:00,160,939.350,517.040,208.140,214.160,427.990
2610323019,2026-08-28 00:00:00,80,27.230,17.330,5.950,3.950,1.600
2610323024,2026-08-28 00:00:00,160,582.300,401.160,155.560,25.580,201.330
2510633400,2026-08-28 00:01:00,800,580.000,352.830,128.430,98.730,96.050
2410131383,2026-08-28 00:02:00,400,1012.630,670.480,216.480,125.670,45.200
2510178139,2026-08-28 00:02:00,300,709.400,414.810,154.630,139.950,143.460
2510203103,2026-08-28 00:02:00,400,1785.940,1060.570,402.670,322.690,44.110
2510203113,2026-08-28 00:02:00,160,3925.310,2485.630,941.960,497.720,217.760
2510203123,2026-08-28 00:02:00,40,2483.130,1627.990,678.210,176.920,784.710
2510633399,2026-08-28 00:02:00,600,995.170,570.750,214.280,210.130,51.560
2510014482,2026-08-28 00:03:00,40,1216.080,845.130,336.070,34.870,79.460
2510203111,2026-08-28 00:03:00,40,3682.340,2306.700,905.310,470.310,1010.680
2510203122,2026-08-28 00:03:00,40,874.260,554.400,273.700,46.150,640.220
2510203133,2026-08-28 00:03:00,40,629.620,429.030,157.730,42.850,106.600
2410121326,2026-08-28 00:30:00,200,1454.830,939.470,408.760,106.590,340.380
2410121353,2026-08-28 00:30:00,120,627.860,436.480,170.540,20.830,132.070
2410121371,2026-08-28 00:30:00,120,561.730,349.830,124.110,87.780,68.220
2410121424,2026-08-28 00:30:00,120,45.310,27.980,10.670,6.650,1.600
2410121440,2026-08-28 00:30:00,120,13.140,8.250,2.600,2.280,1.340
2410121454,2026-08-28 00:30:00,160,1943.280,1222.360,420.410,300.500,313.920
2410121457,2026-08-28 00:30:00,120,1268.910,822.580,365.620,80.690,214.850
2410121574,2026-08-28 00:30:00,120,4615.710,3332.360,1073.770,209.570,397.890
2410131378,2026-08-28 00:30:00,200,1708.710,1093.700,474.260,140.740,377.590
2410131383,2026-08-28 00:30:00,400,1012.640,670.480,216.480,125.680,45.200
2410131384,2026-08-28 00:30:00,200,9534.860,5410.990,1916.620,2207.240,1986.270
2410131387,2026-08-28 00:30:00,600,509.280,317.980,121.420,69.880,52.660
2410320615,2026-08-28 00:30:00,700,14630.180,8954.650,3574.630,2100.890,3608.750
2410883990,2026-08-28 00:30:00,60,2977.260,1706.980,635.500,634.770,885.840
2410883991,2026-08-28 00:30:00,100,2663.330,1602.700,598.710,461.910,248.230
2410883993,2026-08-28 00:30:00,60,2797.960,1331.970,532.580,933.400,88.990
2410883994,2026-08-28 00:30:00,320,99.740,44.300,19.920,35.510,3.410
2410932742,2026-08-28 00:30:00,240,18819.381,10954.770,3500.180,4364.410,4736.570
2411087433,2026-08-28 00:30:00,500,671.080,398.210,148.330,124.520,15.910
2411290205,2026-08-28 00:30:00,240,9115.190,6136.310,2661.090,317.780,3225.420
2510014481,2026-08-28 00:30:00,80,14715.050,8573.840,2835.910,3305.290,5521.160
2510014483,2026-08-28 00:30:00,300,210.380,120.980,47.100,42.290,0.000
2510014484,2026-08-28 00:30:00,160,8990.990,5099.040,1991.500,1900.440,1369.420
2510178139,2026-08-28 00:30:00,300,709.560,414.810,154.630,140.120,143.500
2510203103,2026-08-28 00:30:00,400,1785.970,1060.570,402.670,322.720,44.110
2510203104,2026-08-28 00:30:00,120,2806.710,1684.280,658.530,463.890,404.410
2510203105,2026-08-28 00:30:00,100,2237.480,1555.360,632.790,49.320,526.820
2510203106,2026-08-28 00:30:00,100,92.250,42.850,15.220,34.170,0.370
2510203107,2026-08-28 00:30:00,600,392.640,245.420,110.300,36.910,112.790
2510203109,2026-08-28 00:30:00,160,1390.740,871.420,425.300,94.000,430.490
2510203113,2026-08-28 00:30:00,160,3925.400,2485.630,941.960,497.800,217.760
2510203117,2026-08-28 00:30:00,80,1570.320,834.690,344.200,391.420,263.410
2510203118,2026-08-28 00:30:00,640,171.450,99.090,38.980,33.370,26.980
2510203119,2026-08-28 00:30:00,40,480.820,323.290,123.490,34.020,180.180
2510203120,2026-08-28 00:30:00,160,3943.790,2422.640,873.720,647.420,896.450
2510203124,2026-08-28 00:30:00,800,1078.880,761.940,262.020,54.910,305.120
2510203126,2026-08-28 00:30:00,100,10.410,4.480,1.430,4.490,0.220
2510203127,2026-08-28 00:30:00,40,1073.490,701.740,290.140,81.610,294.280
2510203128,2026-08-28 00:30:00,500,7280.340,3818.750,1282.300,2179.270,321.340
2510203129,2026-08-28 00:30:00,80,1.240,0.640,0.240,0.350,0.000
2510203130,2026-08-28 00:30:00,120,17.240,11.750,3.800,1.680,6.070
2510203133,2026-08-28 00:30:00,40,629.630,429.030,157.730,42.850,106.600
2510203134,2026-08-28 00:30:00,200,136.820,80.110,31.840,24.860,6.060
2510224049,2026-08-28 00:30:00,1,51022.012,19795.650,10539.190,20687.160,117.940
2510317505,2026-08-28 00:30:00,1,13521.090,5903.560,2863.450,4754.070,0.730
2510317537,2026-08-28 00:30:00,1,10716.350,6159.440,2026.440,2530.450,218.560
2510389559,2026-08-28 00:30:00,1,35.990,19.750,14.320,1.910,30.210
2510389931,2026-08-28 00:30:00,1,28910.869,11039.980,6094.840,11776.040,0.080
2510633381,2026-08-28 00:30:00,320,194.880,121.540,43.640,29.690,6.180
2510633385,2026-08-28 00:30:00,60,1110.250,520.650,219.660,369.930,43.160
2510633386,2026-08-28 00:30:00,500,419.780,238.550,91.210,90.000,30.890
2510633387,2026-08-28 00:30:00,40,17.670,11.670,4.390,1.610,0.490
2510633389,2026-08-28 00:30:00,500,241.510,164.040,57.330,20.130,26.340
2510633390,2026-08-28 00:30:00,80,1656.840,998.860,380.810,277.160,430.140
2510633391,2026-08-28 00:30:00,100,218.380,168.440,49.840,0.090,3.050
2510633393,2026-08-28 00:30:00,600,5378.540,3132.780,1072.320,1173.430,1140.360
2510633395,2026-08-28 00:30:00,40,1300.980,732.580,283.550,284.840,61.340
2510633396,2026-08-28 00:30:00,400,810.200,548.280,191.740,70.170,183.350
2510633397,2026-08-28 00:30:00,240,487.570,314.590,145.190,27.770,180.310
2510633399,2026-08-28 00:30:00,600,995.290,570.750,214.280,210.250,51.570
2510633400,2026-08-28 00:30:00,800,580.030,352.830,128.430,98.770,96.050
2510633402,2026-08-28 00:30:00,300,342.470,207.180,75.370,59.900,72.810
2510633406,2026-08-28 00:30:00,60,322.940,141.600,61.020,120.310,11.280
2510633411,2026-08-28 00:30:00,800,4050.240,2306.650,857.300,886.270,1425.010
2510814977,2026-08-28 00:30:00,400,48.040,29.770,11.440,6.820,1.480
2610026950,2026-08-28 00:30:00,600,8.200,5.170,1.910,1.110,0.650
2610026952,2026-08-28 00:30:00,200,3128.110,2042.710,921.540,163.860,1551.440
2610026953,2026-08-28 00:30:00,700,462.800,275.710,106.480,80.600,115.260
2610026963,2026-08-28 00:30:00,200,322.790,167.810,78.440,76.530,23.310
2610026966,2026-08-28 00:30:00,240,829.950,594.900,206.680,28.360,176.240
2610026976,2026-08-28 00:30:00,60,1241.150,808.850,275.960,156.340,129.310
2610026977,2026-08-28 00:30:00,30,533.700,223.360,82.660,227.670,91.790
2610126270,2026-08-28 00:30:00,400,16.410,10.560,4.080,1.760,0.750
2610126451,2026-08-28 00:30:00,300,99.510,65.320,24.360,9.810,54.160
2610159557,2026-08-28 00:30:00,600,10.620,5.760,2.350,2.500,0.220
2610170786,2026-08-28 00:30:00,500,358.240,202.870,73.830,81.530,65.050
2610170836,2026-08-28 00:30:00,100,119.690,74.590,26.750,18.340,68.480
2610170837,2026-08-28 00:30:00,240,8.040,5.220,1.760,1.050,0.850
2610170838,2026-08-28 00:30:00,240,22.690,14.520,5.010,3.150,2.430
2610170840,2026-08-28 00:30:00,40,191.620,106.980,38.580,46.060,39.750
2610322969,2026-08-28 00:30:00,100,47.380,32.290,12.460,2.620,2.760
2610322997,2026-08-28 00:30:00,400,307.410,179.190,71.910,56.300,113.440
2610323001,2026-08-28 00:30:00,160,1014.350,593.230,289.380,131.740,454.690
2610323004,2026-08-28 00:30:00,3000,54.840,42.700,7.080,5.050,12.420
2610323005,2026-08-28 00:30:00,120,5.910,3.970,1.560,0.380,1.230
2610323016,2026-08-28 00:30:00,160,939.870,517.040,208.140,214.680,428.240
2610323019,2026-08-28 00:30:00,80,27.240,17.330,5.950,3.960,1.600
2610323024,2026-08-28 00:30:00,160,582.360,401.160,155.560,25.640,201.330
2510014482,2026-08-28 00:31:00,40,1216.080,845.130,336.070,34.870,79.460
2510178141,2026-08-28 00:31:00,40,592.160,442.500,139.530,10.120,164.810
2510203111,2026-08-28 00:31:00,40,3682.340,2306.700,905.310,470.320,1010.680
2510389643,2026-08-28 00:31:00,1,40323.320,14396.620,7165.350,18761.340,22.350
2610322967,2026-08-28 00:31:00,500,1.960,1.180,0.480,0.290,0.280
2510203122,2026-08-28 00:32:00,40,874.270,554.400,273.700,46.160,640.220
2510203123,2026-08-28 00:32:00,40,2483.140,1627.990,678.210,176.930,784.710
2510633383,2026-08-28 00:32:00,40,1539.210,1152.680,356.400,30.120,47.380
2411087432,2026-08-28 00:45:00,40,3434.290,2138.220,982.560,313.490,705.120
2510203114,2026-08-28 00:45:00,120,1735.010,1090.770,428.600,215.630,344.440
2510203108,2026-08-28 00:46:00,80,3585.970,2011.180,794.040,780.740,579.650
