METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC
2410121326,2026-09-21 00:00:00,200,1573.390,1015.220,440.540,117.620,372.190
2410121353,2026-09-21 00:00:00,120,712.000,493.920,194.080,23.980,157.620
2410121371,2026-09-21 00:00:00,120,601.030,372.940,132.190,95.890,71.420
2410121424,2026-09-21 00:00:00,120,47.990,29.520,11.170,7.300,1.600
2410121440,2026-09-21 00:00:00,120,21.200,13.990,4.220,2.980,2.510
2410121454,2026-09-21 00:00:00,160,2045.610,1290.500,441.330,313.770,332.790
2410121457,2026-09-21 00:00:00,120,1775.810,1137.520,497.990,140.290,333.520
2410121574,2026-09-21 00:00:00,120,4878.280,3520.940,1134.520,222.810,421.600
2410131378,2026-09-21 00:00:00,200,1845.310,1187.620,512.390,145.290,405.200
2410131383,2026-09-21 00:00:00,400,1060.670,702.580,226.570,131.500,47.710
2410131384,2026-09-21 00:00:00,200,9808.360,5564.850,1973.280,2270.210,2044.610
2410131387,2026-09-21 00:00:00,600,547.060,342.390,130.300,74.360,57.340
2410883990,2026-09-21 00:00:00,60,2996.200,1718.640,639.280,638.270,888.680
2410883991,2026-09-21 00:00:00,100,2728.120,1642.690,613.140,472.280,256.140
2410883993,2026-09-21 00:00:00,60,3127.180,1511.280,591.860,1024.030,123.040
2410883994,2026-09-21 00:00:00,320,106.830,47.880,21.220,37.720,3.450
2410932742,2026-09-21 00:00:00,240,19896.270,11582.780,3691.880,4621.610,5045.190
2411087432,2026-09-21 00:00:00,40,3657.460,2271.840,1046.510,339.100,738.170
2411087433,2026-09-21 00:00:00,500,829.870,491.460,179.970,158.420,21.430
2411290205,2026-09-21 00:00:00,240,9637.140,6483.840,2821.920,331.360,3415.820
2510014482,2026-09-21 00:00:00,40,1289.260,898.160,354.430,36.670,84.520
2510014483,2026-09-21 00:00:00,300,228.950,131.940,50.910,46.090,0.000
2510014484,2026-09-21 00:00:00,160,9412.970,5336.800,2082.880,1993.280,1519.510
2510178139,2026-09-21 00:00:00,300,826.520,480.450,175.350,170.710,180.410
2510178141,2026-09-21 00:00:00,40,657.580,492.240,154.330,11.010,183.110
2510203103,2026-09-21 00:00:00,400,1858.030,1106.160,417.860,334.000,61.810
2510203104,2026-09-21 00:00:00,120,3023.150,1816.160,708.160,498.820,454.710
2510203105,2026-09-21 00:00:00,100,2430.860,1691.560,685.680,53.610,571.930
2510203106,2026-09-21 00:00:00,100,98.800,45.770,16.640,36.390,0.410
2510203107,2026-09-21 00:00:00,600,613.510,391.390,164.680,57.430,177.500
2510203108,2026-09-21 00:00:00,80,3975.250,2240.880,880.320,854.040,623.840
2510203109,2026-09-21 00:00:00,160,1521.030,954.730,467.330,98.960,458.260
2510203111,2026-09-21 00:00:00,40,3927.790,2478.430,967.950,481.400,1072.330
2510203113,2026-09-21 00:00:00,160,4446.820,2836.040,1073.670,537.100,265.580
2510203114,2026-09-21 00:00:00,120,1900.360,1193.360,469.000,237.980,381.530
2510203117,2026-09-21 00:00:00,80,1657.400,883.820,359.380,414.190,281.860
2510203118,2026-09-21 00:00:00,640,194.290,112.320,43.680,38.290,26.990
2510203119,2026-09-21 00:00:00,40,480.820,323.290,123.490,34.020,180.180
2510203120,2026-09-21 00:00:00,160,4302.730,2642.410,947.700,712.610,998.980
2510203121,2026-09-21 00:00:00,100,1295.430,760.540,303.150,231.730,71.540
2510203122,2026-09-21 00:00:00,40,936.780,594.100,293.810,48.860,685.770
2510203123,2026-09-21 00:00:00,40,2654.130,1749.560,723.120,181.440,843.210
2510203124,2026-09-21 00:00:00,800,1183.130,839.670,284.790,58.670,332.880
2510203126,2026-09-21 00:00:00,100,15.960,7.190,2.270,6.490,0.320
2510203127,2026-09-21 00:00:00,40,1262.230,823.650,335.610,102.960,366.730
2510203128,2026-09-21 00:00:00,500,7952.850,4177.360,1399.270,2376.200,369.550
2510203129,2026-09-21 00:00:00,80,6.530,3.450,1.220,1.860,0.000
