METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC,NG,NVC
2410121353,2026-09-12 00:00:00,120,674.930,470.250,182.680,21.990,145.970,0.000,15.180
2410121371,2026-09-12 00:00:00,120,582.940,362.490,128.840,91.610,70.930,0.000,29.260
2410121424,2026-09-12 00:00:00,120,47.120,29.030,11.020,7.070,1.600,0.000,17.160
2410121440,2026-09-12 00:00:00,120,18.510,12.120,3.670,2.710,2.310,0.000,5.330
2410121454,2026-09-12 00:00:00,160,2008.080,1266.290,433.420,308.370,325.280,0.000,76.290
2410121457,2026-09-12 00:00:00,120,1558.580,1015.030,448.840,94.700,279.600,0.000,42.320
2410121574,2026-09-12 00:00:00,120,4795.340,3460.800,1114.810,219.720,413.820,0.000,374.870
2410131378,2026-09-12 00:00:00,200,1800.280,1156.920,498.700,144.650,396.320,0.000,8.960
2410131383,2026-09-12 00:00:00,400,1044.410,691.640,223.180,129.580,47.160,0.000,65.130
2410131384,2026-09-12 00:00:00,200,9703.100,5505.850,1951.580,2245.670,2025.960,0.000,4.900
2410131387,2026-09-12 00:00:00,600,530.320,331.710,126.220,72.380,54.460,0.000,58.010
2410320615,2026-09-12 00:00:00,700,15155.270,9287.520,3699.580,2168.160,3746.450,0.000,51.450
2410883988,2026-09-12 00:00:00,100,33.670,17.080,5.020,11.560,3.340,0.000,1.960
2410883990,2026-09-12 00:00:00,60,2990.610,1715.020,638.370,637.210,887.940,0.000,38.500
2410883991,2026-09-12 00:00:00,100,2706.870,1629.260,608.460,469.140,254.290,0.260,73.740
2410883993,2026-09-12 00:00:00,60,2999.210,1442.060,569.540,987.600,103.820,0.000,334.260
2410883994,2026-09-12 00:00:00,320,103.670,46.180,20.670,36.820,3.450,0.000,5.700
2410932742,2026-09-12 00:00:00,240,19514.500,11356.300,3628.190,4530.010,4938.830,0.000,5.960
2411087432,2026-09-12 00:00:00,40,3584.430,2228.960,1025.600,329.870,724.990,0.000,30.460
2411087433,2026-09-12 00:00:00,500,759.140,449.960,166.730,142.440,20.050,0.000,774.900
2411290205,2026-09-12 00:00:00,240,9404.860,6327.070,2751.300,326.480,3331.790,0.000,59.270
2510014481,2026-09-12 00:00:00,80,15097.760,8800.980,2910.830,3385.950,5668.840,0.000,5.520
2510014483,2026-09-12 00:00:00,300,222.530,128.090,49.670,44.750,0.000,0.000,181.120
2510014484,2026-09-12 00:00:00,160,9239.580,5239.210,2045.660,1954.700,1456.960,0.000,21.190
2510178139,2026-09-12 00:00:00,300,776.060,452.460,166.440,157.150,162.540,0.000,14.140
2510178141,2026-09-12 00:00:00,40,633.720,474.330,148.730,10.640,175.990,0.000,46.060
2510203103,2026-09-12 00:00:00,400,1831.680,1088.220,412.910,330.540,56.800,0.130,326.600
2510203104,2026-09-12 00:00:00,120,2945.440,1769.360,690.920,485.150,436.500,0.000,69.180
2510203105,2026-09-12 00:00:00,100,2338.340,1626.130,660.120,52.070,551.470,0.000,69.590
2510203107,2026-09-12 00:00:00,600,566.210,359.580,153.540,53.080,163.510,0.000,12.310
2510203108,2026-09-12 00:00:00,80,3838.980,2161.500,850.490,826.980,607.910,0.000,36.660
2510203109,2026-09-12 00:00:00,160,1471.850,924.640,450.050,97.150,447.940,0.000,86.660
2510203111,2026-09-12 00:00:00,40,3845.580,2420.830,943.790,480.960,1052.180,0.000,12.380
2510203113,2026-09-12 00:00:00,160,4231.210,2693.200,1019.450,518.550,246.290,0.000,109.540
2510203114,2026-09-12 00:00:00,120,1840.220,1156.730,454.700,228.770,368.350,0.000,32.900
2510203117,2026-09-12 00:00:00,80,1626.550,866.270,353.990,406.290,275.910,0.000,160.470
2510203118,2026-09-12 00:00:00,640,184.200,106.760,41.640,35.790,26.990,0.010,107.370
2510203119,2026-09-12 00:00:00,40,480.820,323.290,123.490,34.020,180.180,0.000,14.790
2510203120,2026-09-12 00:00:00,160,4172.720,2562.270,922.630,687.820,958.390,0.000,14.900
2510203121,2026-09-12 00:00:00,100,1268.250,743.110,297.540,227.590,70.230,0.000,104.830
2510203122,2026-09-12 00:00:00,40,913.920,579.700,286.400,47.810,669.260,0.000,0.690
2510203123,2026-09-12 00:00:00,40,2593.210,1706.400,705.720,181.080,822.670,0.000,11.330
2510203124,2026-09-12 00:00:00,800,1133.540,802.380,275.080,56.070,318.000,0.000,0.330
2510203126,2026-09-12 00:00:00,100,13.660,5.940,1.940,5.780,0.270,0.000,1.100
2510203127,2026-09-12 00:00:00,40,1182.050,773.400,317.440,91.210,332.890,0.000,48.920
2510203128,2026-09-12 00:00:00,500,7699.910,4040.400,1358.010,2301.490,348.670,0.000,112.320
2510203129,2026-09-12 00:00:00,80,4.690,2.470,0.900,1.320,0.000,0.000,0.820
