METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC,NG,NVC
2410121326,2026-08-30 00:00:00,200,1465.430,946.480,411.270,107.670,343.350,,
2410121353,2026-08-30 00:00:00,120,634.730,441.020,172.710,20.980,133.960,,
2410121371,2026-08-30 00:00:00,120,566.010,352.340,125.190,88.480,68.570,,
2410121424,2026-08-30 00:00:00,120,45.540,28.110,10.720,6.700,1.600,,
2410121440,2026-08-30 00:00:00,120,13.700,8.640,2.710,2.340,1.420,,
2410121454,2026-08-30 00:00:00,160,1951.710,1227.820,421.880,302.000,315.810,,
2410121457,2026-08-30 00:00:00,120,1307.990,846.980,379.240,81.760,223.510,,
2410121574,2026-08-30 00:00:00,120,4643.630,3352.390,1080.480,210.750,400.750,,
2410131378,2026-08-30 00:00:00,200,1721.100,1102.630,477.570,140.890,379.780,,
2410131383,2026-08-30 00:00:00,400,1017.290,673.750,217.550,125.980,45.470,,
2410131384,2026-08-30 00:00:00,200,9567.180,5429.040,1922.810,2215.330,1995.390,,
2410131387,2026-08-30 00:00:00,600,512.090,319.830,122.120,70.120,52.820,,
2410883990,2026-08-30 00:00:00,60,2978.900,1707.930,635.920,635.050,886.110,,
2410883991,2026-08-30 00:00:00,100,2670.240,1606.790,600.450,462.980,249.060,,
2410883993,2026-08-30 00:00:00,60,2827.840,1348.250,539.020,940.550,91.410,,
2410883994,2026-08-30 00:00:00,320,100.170,44.470,20.020,35.680,3.420,,
2410932742,2026-08-30 00:00:00,240,18916.141,11007.280,3522.520,4386.320,4763.580,,
2411087432,2026-08-30 00:00:00,40,3449.440,2148.100,985.830,315.500,706.130,,
2411087433,2026-08-30 00:00:00,500,687.750,407.560,152.140,128.030,16.010,,
2411290205,2026-08-30 00:00:00,240,9164.570,6171.380,2674.390,318.790,3243.040,,
2510014481,2026-08-30 00:00:00,80,14787.890,8617.840,2849.970,3320.070,5548.930,,
2510014482,2026-08-30 00:00:00,40,1222.600,849.970,337.610,35.010,80.090,,
2510014483,2026-08-30 00:00:00,300,212.050,121.860,47.510,42.670,0.000,,
2510014484,2026-08-30 00:00:00,160,9037.290,5125.160,2001.270,1910.850,1386.830,,
2510178141,2026-08-30 00:00:00,40,595.900,445.340,140.380,10.170,164.870,,
2510203104,2026-08-30 00:00:00,120,2828.030,1697.730,663.430,466.860,409.930,,
2510203105,2026-08-30 00:00:00,100,2250.850,1564.920,636.430,49.490,530.140,,
2510203106,2026-08-30 00:00:00,100,93.350,43.180,15.770,34.390,0.400,,
2510203107,2026-08-30 00:00:00,600,413.360,259.600,115.500,38.250,118.620,,
2510203108,2026-08-30 00:00:00,80,3616.010,2027.550,801.980,786.470,583.130,,
2510203109,2026-08-30 00:00:00,160,1406.840,881.030,431.410,94.390,433.460,,
2510203111,2026-08-30 00:00:00,40,3701.060,2321.000,909.650,470.400,1015.240,,
2510203113,2026-08-30 00:00:00,160,3973.890,2516.990,956.100,500.790,221.800,,
2510203114,2026-08-30 00:00:00,120,1751.620,1101.620,432.570,217.420,348.740,,
2510203117,2026-08-30 00:00:00,80,1578.700,839.510,345.910,393.280,265.460,,
2510203118,2026-08-30 00:00:00,640,173.240,100.180,39.390,33.650,26.990,,
2510203119,2026-08-30 00:00:00,40,480.820,323.290,123.490,34.020,180.180,,
2510203120,2026-08-30 00:00:00,160,3977.580,2443.610,882.010,651.950,904.550,,
2510203122,2026-08-30 00:00:00,40,880.550,558.670,275.520,46.350,645.080,,
2510203123,2026-08-30 00:00:00,40,2497.010,1638.700,681.300,177.000,789.440,,
2510203124,2026-08-30 00:00:00,800,1089.140,768.860,265.190,55.080,307.610,,
2510203126,2026-08-30 00:00:00,100,10.900,4.700,1.520,4.670,0.220,,
2510203127,2026-08-30 00:00:00,40,1093.810,714.470,295.030,84.290,302.330,,
2510203128,2026-08-30 00:00:00,500,7334.280,3846.150,1293.320,2194.800,324.480,,
2510203129,2026-08-30 00:00:00,80,1.690,0.860,0.350,0.470,0.000,,
2510203130,2026-08-30 00:00:00,120,17.930,12.200,3.980,1.740,6.360,,
2510203133,2026-08-30 00:00:00,40,633.380,431.780,158.610,42.980,107.120,,
2510203134,2026-08-30 00:00:00,200,137.190,80.310,31.920,24.950,6.060,,
2510224049,2026-08-30 00:00:00,1,51200.199,19862.779,10571.030,20766.381,117.940,,
2510317505,2026-08-30 00:00:00,1,13649.540,5960.060,2891.060,4798.410,0.740,,
2510317537,2026-08-30 00:00:00,1,10803.320,6206.930,2045.820,2550.570,218.560,,
2510389931,2026-08-30 00:00:00,1,29092.510,11103.120,6142.610,11846.770,0.080,,
2510633381,2026-08-30 00:00:00,320,197.430,123.150,44.290,29.990,6.200,,
2510633383,2026-08-30 00:00:00,40,1550.950,1161.740,358.860,30.340,47.670,,
2510633385,2026-08-30 00:00:00,60,1118.510,524.650,221.600,372.250,43.630,,
2510633386,2026-08-30 00:00:00,500,425.740,242.020,92.380,91.330,30.900,,
2510633387,2026-08-30 00:00:00,40,18.300,12.140,4.500,1.650,0.510,,
2510633389,2026-08-30 00:00:00,500,254.520,172.860,60.760,20.890,30.330,,
2510633390,2026-08-30 00:00:00,80,1711.760,1029.670,393.540,288.540,444.900,,
2510633391,2026-08-30 00:00:00,100,220.180,169.800,50.280,0.090,3.060,,
2510633395,2026-08-30 00:00:00,40,1300.980,732.580,283.550,284.840,61.340,,
2510633396,2026-08-30 00:00:00,400,817.440,552.960,193.990,70.480,184.450,,
2510633397,2026-08-30 00:00:00,240,491.500,317.340,146.090,28.060,181.200,,
2510633399,2026-08-30 00:00:00,600,1008.490,577.890,217.780,212.820,52.360,,
2510633400,2026-08-30 00:00:00,800,592.640,360.810,131.700,100.120,100.300,,
2510633402,2026-08-30 00:00:00,300,358.810,216.700,79.650,62.450,77.710,,
2510633406,2026-08-30 00:00:00,60,325.330,142.900,61.630,120.790,11.660,,
2510633411,2026-08-30 00:00:00,800,4109.410,2338.900,870.750,899.750,1447.290,,
2610026952,2026-08-30 00:00:00,200,3155.250,2060.250,931.040,163.950,1567.000,,
2610026953,2026-08-30 00:00:00,700,482.120,286.730,110.930,84.440,122.800,,
2610026963,2026-08-30 00:00:00,200,327.910,170.330,80.000,77.570,23.310,,
2610026966,2026-08-30 00:00:00,240,844.940,605.740,210.440,28.740,178.910,,
2610026976,2026-08-30 00:00:00,60,1257.540,819.550,280.010,157.960,130.360,,
2610026977,2026-08-30 00:00:00,30,542.160,226.850,84.060,231.240,93.440,,
2610126270,2026-08-30 00:00:00,400,17.340,11.110,4.320,1.910,0.750,,
2610126451,2026-08-30 00:00:00,300,100.550,65.930,24.640,9.970,54.290,,
2610159557,2026-08-30 00:00:00,600,11.220,6.120,2.470,2.610,0.230,,
2610170786,2026-08-30 00:00:00,500,385.420,217.580,79.800,88.020,70.940,,
2610170836,2026-08-30 00:00:00,100,119.880,74.700,26.820,18.340,68.500,,
2610170837,2026-08-30 00:00:00,240,8.350,5.430,1.840,1.080,0.890,,
2610170838,2026-08-30 00:00:00,240,23.520,15.040,5.220,3.250,2.510,,
2610170840,2026-08-30 00:00:00,40,202.710,113.880,40.960,47.860,42.340,,
2610322967,2026-08-30 00:00:00,500,2.130,1.270,0.540,0.320,0.290,,
2610322969,2026-08-30 00:00:00,100,51.450,34.880,13.700,2.870,3.250,,
