METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC,NG,NVC
2246006313,2026-09-05 00:00:00,8800,872.075,490.332,180.222,201.520,113.817,8.999,180.457
2410121424,2026-09-05 00:00:00,120,46.240,28.510,10.840,6.870,1.600,0.000,16.620
2410121440,2026-09-05 00:00:00,120,15.600,10.020,3.060,2.500,1.790,0.000,4.950
2410121454,2026-09-05 00:00:00,160,1968.630,1238.820,425.300,304.500,318.150,0.000,76.290
2410121457,2026-09-05 00:00:00,120,1397.140,906.550,400.730,89.850,242.840,0.000,42.310
2410131378,2026-09-05 00:00:00,200,1744.960,1119.670,483.950,141.330,384.390,0.000,8.700
2410131383,2026-09-05 00:00:00,400,1026.190,679.490,219.390,127.310,45.880,0.000,64.800
2410131384,2026-09-05 00:00:00,200,9603.670,5448.670,1930.810,2224.180,2005.290,0.000,4.670
2410131387,2026-09-05 00:00:00,600,518.600,324.240,123.350,71.010,53.100,0.000,57.290
2410883988,2026-09-05 00:00:00,100,32.180,16.410,4.790,10.970,3.310,0.000,1.890
2410883990,2026-09-05 00:00:00,60,2984.510,1711.250,637.090,636.170,886.950,0.000,38.500
2410883991,2026-09-05 00:00:00,100,2687.290,1617.350,604.040,465.890,251.720,0.260,73.330
2410883993,2026-09-05 00:00:00,60,2903.080,1389.550,551.480,962.040,97.140,0.000,329.350
2410883994,2026-09-05 00:00:00,320,101.450,45.090,20.240,36.120,3.430,0.000,5.390
2410932742,2026-09-05 00:00:00,240,19169.400,11157.680,3565.200,4446.500,4842.110,0.000,5.960
2411087432,2026-09-05 00:00:00,40,3492.450,2174.200,997.540,320.710,710.840,0.000,30.180
2411087433,2026-09-05 00:00:00,500,711.060,422.160,156.140,132.750,17.050,0.000,772.920
2411290205,2026-09-05 00:00:00,240,9241.920,6225.530,2694.260,322.130,3269.680,0.000,59.240
2510014481,2026-09-05 00:00:00,80,14862.240,8662.090,2868.040,3332.100,5577.950,0.000,5.520
2510014482,2026-09-05 00:00:00,40,1238.330,861.640,341.270,35.420,81.770,0.000,60.510
2510014483,2026-09-05 00:00:00,300,216.060,124.210,48.330,43.500,0.000,0.000,177.530
2510014484,2026-09-05 00:00:00,160,9090.630,5155.760,2013.450,1921.400,1403.750,0.000,21.060
2510178139,2026-09-05 00:00:00,300,735.950,430.180,159.110,146.650,150.420,0.000,14.130
2510178141,2026-09-05 00:00:00,40,605.840,452.920,142.550,10.360,168.470,0.000,45.160
2510203103,2026-09-05 00:00:00,400,1806.800,1072.690,406.910,327.200,49.580,0.040,324.390
2510203104,2026-09-05 00:00:00,120,2870.090,1723.610,673.050,473.420,419.300,0.000,69.180
2510203105,2026-09-05 00:00:00,100,2285.890,1590.010,645.090,50.790,538.370,0.000,68.570
2510203106,2026-09-05 00:00:00,100,95.070,43.960,16.030,35.070,0.400,0.000,35.670
2510203107,2026-09-05 00:00:00,600,450.550,284.950,122.320,43.270,127.760,0.000,11.490
2510203108,2026-09-05 00:00:00,80,3701.920,2077.680,820.650,803.570,592.170,0.000,36.510
2510203109,2026-09-05 00:00:00,160,1430.630,897.360,437.660,95.610,438.090,0.000,83.250
2510203111,2026-09-05 00:00:00,40,3743.520,2351.290,921.550,470.680,1025.040,0.000,12.240
2510203113,2026-09-05 00:00:00,160,4064.780,2581.920,975.830,507.030,228.910,0.000,109.230
