METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC,NG,NVC
2246006313,2026-09-26 00:00:00,8800,962.127,542.590,199.571,219.965,129.779,8.999,180.553
2410121326,2026-09-26 00:00:00,200,1612.450,1040.130,452.550,119.750,380.660,0.000,5.480
2410121353,2026-09-26 00:00:00,120,734.200,509.720,200.020,24.450,163.940,0.000,15.540
2410121371,2026-09-26 00:00:00,120,613.440,380.850,134.830,97.750,72.510,0.000,29.700
2410121424,2026-09-26 00:00:00,120,48.580,29.840,11.290,7.440,1.600,0.000,18.100
2410121440,2026-09-26 00:00:00,120,23.000,15.360,4.500,3.120,2.830,0.000,6.200
2410121454,2026-09-26 00:00:00,160,2074.940,1311.030,447.630,316.270,337.910,0.000,76.690
2410121457,2026-09-26 00:00:00,120,1937.250,1229.280,535.980,171.980,370.390,0.000,42.560
2410121574,2026-09-26 00:00:00,120,4955.590,3576.390,1153.440,225.750,429.340,0.000,382.800
2410131378,2026-09-26 00:00:00,200,1880.900,1211.240,523.990,145.660,412.830,0.000,9.810
2410131383,2026-09-26 00:00:00,400,1074.420,711.830,229.570,133.010,48.570,0.000,65.840
2410131384,2026-09-26 00:00:00,200,9887.610,5609.350,1991.090,2287.160,2064.850,0.000,4.900
2410131387,2026-09-26 00:00:00,600,557.890,349.180,133.220,75.470,58.930,0.000,59.210
2410320615,2026-09-26 00:00:00,700,15686.060,9619.960,3827.070,2239.030,3878.670,0.000,51.460
2410883988,2026-09-26 00:00:00,100,38.020,19.540,5.720,12.740,3.570,0.000,2.210
2410883990,2026-09-26 00:00:00,60,3002.280,1722.130,640.650,639.480,889.350,0.000,38.540
2410883991,2026-09-26 00:00:00,100,2752.670,1656.560,620.200,475.890,257.880,0.260,74.310
2410883993,2026-09-26 00:00:00,60,3191.780,1545.050,605.190,1041.530,127.360,0.000,342.340
2410883994,2026-09-26 00:00:00,320,108.840,48.880,21.710,38.230,3.450,0.000,6.970
2410932742,2026-09-26 00:00:00,240,20122.561,11707.510,3740.550,4674.490,5112.120,0.000,5.960
2411087432,2026-09-26 00:00:00,40,3750.080,2327.250,1076.560,346.260,752.370,0.000,31.200
2411087433,2026-09-26 00:00:00,500,878.700,518.740,191.340,168.610,22.900,0.000,780.010
2411290205,2026-09-26 00:00:00,240,9751.280,6559.450,2857.540,334.280,3457.090,0.000,59.560
2510014481,2026-09-26 00:00:00,80,15538.520,9053.660,2995.840,3489.010,5841.750,0.000,5.520
2510014482,2026-09-26 00:00:00,40,1309.590,912.610,359.920,37.060,85.410,0.000,64.010
2510014484,2026-09-26 00:00:00,160,9553.320,5415.100,2113.740,2024.460,1562.890,0.000,21.600
2510178139,2026-09-26 00:00:00,300,842.440,489.980,178.990,173.470,184.010,0.000,14.140
2510178141,2026-09-26 00:00:00,40,680.910,510.350,159.390,11.160,190.300,0.000,47.970
2510203103,2026-09-26 00:00:00,400,1871.230,1114.320,420.430,336.460,67.570,3.630,331.010
2510203104,2026-09-26 00:00:00,120,3078.770,1850.230,722.040,506.490,469.260,0.000,69.190
2510203105,2026-09-26 00:00:00,100,2478.270,1723.230,700.620,54.420,581.790,0.000,70.910
2510203106,2026-09-26 00:00:00,100,100.570,46.670,16.950,36.940,0.440,0.000,37.600
2510203107,2026-09-26 00:00:00,600,706.160,447.530,190.660,67.950,207.180,0.000,12.640
2510203108,2026-09-26 00:00:00,80,4075.220,2297.200,906.330,871.680,635.560,0.000,36.690
2510203109,2026-09-26 00:00:00,160,1553.260,974.330,478.960,99.960,465.120,0.000,87.210
2510203111,2026-09-26 00:00:00,40,3987.850,2518.440,987.760,481.630,1087.790,0.000,12.840
2510203113,2026-09-26 00:00:00,160,4605.250,2940.470,1116.650,548.120,284.340,0.000,111.270
2510203114,2026-09-26 00:00:00,120,1944.560,1221.200,480.400,242.960,392.950,0.000,33.730
2510203117,2026-09-26 00:00:00,80,1677.320,894.390,363.790,419.130,286.650,0.000,167.610
2510203118,2026-09-26 00:00:00,640,200.520,116.020,45.220,39.270,26.990,0.010,117.010
2510203119,2026-09-26 00:00:00,40,480.850,323.310,123.500,34.030,180.180,0.000,14.800
2510203120,2026-09-26 00:00:00,160,4395.050,2698.410,968.750,727.880,1023.390,0.000,14.900
2510203121,2026-09-26 00:00:00,100,1309.130,768.410,306.980,233.730,72.060,0.000,108.470
2510203122,2026-09-26 00:00:00,40,955.700,606.280,299.770,49.650,698.480,0.000,0.710
2510203123,2026-09-26 00:00:00,40,2702.160,1782.140,738.380,181.630,859.670,0.000,11.900
2510203124,2026-09-26 00:00:00,800,1211.250,858.090,291.930,61.220,343.060,0.000,0.360
2510203127,2026-09-26 00:00:00,40,1310.410,856.500,349.340,104.550,380.090,0.000,49.430
2510203128,2026-09-26 00:00:00,500,8094.420,4248.330,1428.110,2417.980,378.370,0.000,112.640
2510203129,2026-09-26 00:00:00,80,7.520,3.940,1.430,2.140,0.000,0.000,1.840
2510203130,2026-09-26 00:00:00,120,34.470,24.810,7.100,2.540,10.110,0.000,0.530
2510203133,2026-09-26 00:00:00,40,677.020,460.670,171.440,44.900,115.600,0.000,47.810
2510203134,2026-09-26 00:00:00,200,142.280,83.230,32.810,26.220,6.060,0.000,33.520
2510224049,2026-09-26 00:00:00,1,53940.602,21062.840,11018.650,21859.100,118.600,0.000,9092.930
2510317505,2026-09-26 00:00:00,1,15461.260,6784.960,3286.460,5389.840,0.740,0.000,4622.510
2510317537,2026-09-26 00:00:00,1,11972.170,6871.980,2266.130,2834.050,218.560,1427.680,2170.850
2510389559,2026-09-26 00:00:00,1,36.870,20.630,14.320,1.910,30.680,0.000,5.910
2510389643,2026-09-26 00:00:00,1,43663.129,15650.620,7834.140,20178.350,22.640,0.000,4150.470
2510389931,2026-09-26 00:00:00,1,31599.020,12077.810,6687.600,12833.600,0.150,0.000,4338.630
2510633381,2026-09-26 00:00:00,320,227.610,141.690,51.210,34.710,6.310,0.000,46.720
2510633383,2026-09-26 00:00:00,40,1769.050,1326.790,407.560,34.690,54.730,0.000,314.020
2510633385,2026-09-26 00:00:00,60,1238.040,583.720,247.460,406.850,48.970,0.000,96.150
2510633386,2026-09-26 00:00:00,500,499.950,284.640,107.960,107.330,30.920,0.000,2793.480
2510633387,2026-09-26 00:00:00,40,26.850,18.120,6.470,2.240,0.860,0.000,3.490
2510633389,2026-09-26 00:00:00,500,565.170,383.070,131.960,50.120,108.890,0.000,103.740
