METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC,NG,NVC
2246006313,2026-09-02 00:00:00,8800,865.586,486.641,178.730,200.214,113.256,8.999,179.540
2410121326,2026-09-02 00:00:00,200,1469.620,949.030,411.770,108.820,344.360,0.000,5.410
2410121353,2026-09-02 00:00:00,120,641.410,446.600,173.600,21.200,135.990,0.000,14.840
2410121371,2026-09-02 00:00:00,120,567.730,353.460,125.460,88.800,68.800,0.000,28.890
2410121424,2026-09-02 00:00:00,120,45.890,28.320,10.770,6.790,1.600,0.000,16.390
2410121440,2026-09-02 00:00:00,120,14.610,9.310,2.870,2.420,1.620,0.000,4.790
2410121454,2026-09-02 00:00:00,160,1955.850,1230.230,422.430,303.180,315.920,0.000,76.170
2410121457,2026-09-02 00:00:00,120,1348.310,877.620,385.720,84.960,231.610,0.000,41.990
2410131378,2026-09-02 00:00:00,200,1729.150,1109.590,478.450,141.110,381.140,0.000,8.490
2410131383,2026-09-02 00:00:00,400,1019.390,675.060,217.830,126.490,45.470,0.000,64.660
2410131384,2026-09-02 00:00:00,200,9571.460,5431.390,1923.370,2216.680,1996.160,0.000,4.670
2410131387,2026-09-02 00:00:00,600,514.710,321.850,122.330,70.530,52.920,0.000,57.000
2410320615,2026-09-02 00:00:00,700,14775.770,9047.860,3608.410,2119.490,3645.770,0.000,51.450
2410883988,2026-09-02 00:00:00,100,31.520,16.140,4.670,10.700,3.300,0.000,1.840
2410883990,2026-09-02 00:00:00,60,2981.390,1709.470,636.360,635.550,886.500,0.000,38.500
2410883991,2026-09-02 00:00:00,100,2678.550,1612.260,601.830,464.450,250.420,0.260,73.280
2410883993,2026-09-02 00:00:00,60,2865.970,1369.940,544.220,951.800,94.860,0.000,327.220
2410883994,2026-09-02 00:00:00,320,100.880,44.840,20.100,35.930,3.420,0.000,5.350
2410932742,2026-09-02 00:00:00,240,19037.320,11083.680,3534.270,4419.350,4802.030,0.000,5.960
2411087432,2026-09-02 00:00:00,40,3457.800,2153.340,987.080,317.370,706.140,0.000,30.040
2411087433,2026-09-02 00:00:00,500,699.410,415.590,153.150,130.660,16.330,0.000,771.870
