METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC,NG,NVC
2410121326,2026-08-31 00:00:00,200,1467.050,947.700,411.270,108.060,343.810,,
2410121353,2026-08-31 00:00:00,120,637.410,443.630,172.710,21.060,134.950,,
2410121371,2026-08-31 00:00:00,120,566.520,352.740,125.190,88.580,68.620,,
2410121440,2026-08-31 00:00:00,120,14.000,8.910,2.710,2.370,1.490,,
2410121454,2026-08-31 00:00:00,160,1953.190,1228.890,421.880,302.400,315.840,,
2410121457,2026-08-31 00:00:00,120,1329.950,866.560,379.240,84.150,228.110,,
2410121574,2026-08-31 00:00:00,120,4650.010,3358.270,1080.480,211.250,400.750,,
2410131378,2026-08-31 00:00:00,200,1725.360,1106.810,477.570,140.960,380.210,,
2410131383,2026-08-31 00:00:00,400,1018.080,674.370,217.550,126.150,45.470,,
2410131384,2026-08-31 00:00:00,200,9568.640,5430.050,1922.810,2215.780,1995.650,,
2410131387,2026-08-31 00:00:00,600,513.780,321.390,122.120,70.250,52.920,,
2410320615,2026-08-31 00:00:00,700,14731.540,9018.520,3597.200,2115.810,3633.840,,
2410883990,2026-08-31 00:00:00,60,2979.640,1708.490,635.920,635.220,886.210,,
2410883991,2026-08-31 00:00:00,100,2673.230,1609.290,600.450,463.480,249.500,,
2410883993,2026-08-31 00:00:00,60,2840.570,1356.920,539.020,944.610,92.650,,
2410883994,2026-08-31 00:00:00,320,100.470,44.680,20.020,35.770,3.420,,
2410932742,2026-08-31 00:00:00,240,18966.840,11045.630,3522.520,4398.670,4778.010,,
2411087432,2026-08-31 00:00:00,40,3452.200,2150.260,985.830,316.090,706.130,,
2411087433,2026-08-31 00:00:00,500,693.950,412.160,152.140,129.640,16.160,,
2411290205,2026-08-31 00:00:00,240,9179.540,6185.820,2674.390,319.330,3247.970,,
2510014481,2026-08-31 00:00:00,80,14789.390,8618.960,2849.970,3320.450,5549.120,,
2510014482,2026-08-31 00:00:00,40,1222.870,850.180,337.610,35.070,80.090,,
2510014483,2026-08-31 00:00:00,300,212.570,122.250,47.510,42.800,0.000,,
2510014484,2026-08-31 00:00:00,160,9038.660,5126.150,2001.270,1911.230,1386.830,,
2510178139,2026-08-31 00:00:00,300,722.560,423.200,156.510,142.840,146.800,,
2510178141,2026-08-31 00:00:00,40,596.010,445.430,140.380,10.200,164.870,,
2510203103,2026-08-31 00:00:00,400,1797.440,1067.820,405.260,324.340,46.260,,
2510203104,2026-08-31 00:00:00,120,2831.330,1699.920,663.430,467.970,410.360,,
2510203105,2026-08-31 00:00:00,100,2254.910,1568.910,636.430,49.560,531.090,,
2510203106,2026-08-31 00:00:00,100,93.640,43.350,15.770,34.500,0.400,,
2510203107,2026-08-31 00:00:00,600,416.440,261.970,115.500,38.960,118.900,,
2510203108,2026-08-31 00:00:00,80,3631.280,2039.560,801.980,789.730,584.920,,
2510203109,2026-08-31 00:00:00,160,1412.550,886.560,431.410,94.570,434.710,,
2510203111,2026-08-31 00:00:00,40,3707.010,2326.900,909.650,470.450,1015.900,,
2510203113,2026-08-31 00:00:00,160,3997.190,2539.160,956.100,501.930,223.630,,
2510203114,2026-08-31 00:00:00,120,1752.860,1102.310,432.570,217.970,348.880,,
2510203117,2026-08-31 00:00:00,80,1581.910,841.780,345.910,394.210,265.460,,
2510203118,2026-08-31 00:00:00,640,173.240,100.180,39.390,33.650,26.990,,
2510203119,2026-08-31 00:00:00,40,480.820,323.290,123.490,34.020,180.180,,
2510203120,2026-08-31 00:00:00,160,3987.530,2451.190,882.010,654.330,907.760,,
2510203122,2026-08-31 00:00:00,40,880.940,558.970,275.520,46.450,645.350,,
2510203123,2026-08-31 00:00:00,40,2499.320,1640.970,681.300,177.040,790.430,,
2510203124,2026-08-31 00:00:00,800,1089.390,769.040,265.190,55.140,307.620,,
2510203126,2026-08-31 00:00:00,100,11.130,4.850,1.520,4.750,0.220,,
2510203127,2026-08-31 00:00:00,40,1097.940,717.550,295.030,85.350,304.530,,
2510203128,2026-08-31 00:00:00,500,7361.640,3865.470,1293.320,2202.850,326.110,,
2510203129,2026-08-31 00:00:00,80,1.920,1.030,0.350,0.530,0.000,,
2510203130,2026-08-31 00:00:00,120,18.340,12.580,3.980,1.770,6.470,,
2510203133,2026-08-31 00:00:00,40,633.640,431.970,158.610,43.050,107.120,,
2510203134,2026-08-31 00:00:00,200,137.380,80.450,31.920,25.000,6.060,,
2510224049,2026-08-31 00:00:00,1,51295.012,19916.051,10571.030,20807.920,117.940,,
2510224167,2026-08-31 00:00:00,1,18986.539,8181.700,3604.990,7199.850,528.320,,
2510317505,2026-08-31 00:00:00,1,13715.740,6003.060,2891.060,4821.600,0.740,,
2510317537,2026-08-31 00:00:00,1,10845.730,6236.620,2045.820,2563.280,218.560,,
2510389559,2026-08-31 00:00:00,1,35.990,19.750,14.320,1.910,30.210,,
2510389643,2026-08-31 00:00:00,1,40672.910,14546.190,7220.380,18906.340,22.350,,
2510633381,2026-08-31 00:00:00,320,198.120,123.650,44.290,30.170,6.200,,
2510633383,2026-08-31 00:00:00,40,1551.410,1162.080,358.860,30.460,47.670,,
2510633385,2026-08-31 00:00:00,60,1122.070,527.000,221.600,373.460,43.770,,
2510633386,2026-08-31 00:00:00,500,426.190,242.390,92.380,91.420,30.900,,
2510633387,2026-08-31 00:00:00,40,18.380,12.200,4.500,1.670,0.530,,
2510633389,2026-08-31 00:00:00,500,257.720,175.680,60.760,21.280,30.340,,
2510633390,2026-08-31 00:00:00,80,1737.970,1050.040,393.540,294.370,452.640,,
2510633391,2026-08-31 00:00:00,100,220.180,169.800,50.280,0.090,3.060,,
2510633395,2026-08-31 00:00:00,40,1300.980,732.580,283.550,284.840,61.340,,
2510633396,2026-08-31 00:00:00,400,817.900,553.320,193.990,70.580,184.470,,
2510633397,2026-08-31 00:00:00,240,492.030,317.700,146.090,28.220,181.200,,
2510633399,2026-08-31 00:00:00,600,1015.050,583.170,217.780,214.090,52.640,,
2510633400,2026-08-31 00:00:00,800,596.210,363.600,131.700,100.910,101.380,,
2510633402,2026-08-31 00:00:00,300,367.780,224.300,79.650,63.820,80.520,,
2510633411,2026-08-31 00:00:00,800,4135.210,2358.050,870.750,906.400,1456.390,,
2510814977,2026-08-31 00:00:00,400,48.440,30.020,11.500,6.910,1.480,,
2610026953,2026-08-31 00:00:00,700,485.910,289.000,110.930,85.960,124.070,,
2610026963,2026-08-31 00:00:00,200,329.430,171.370,80.000,78.050,23.310,,
2610026966,2026-08-31 00:00:00,240,845.810,606.430,210.440,28.930,179.290,,
